id,popularity,label
1mcpd5zsGu9ZvX0jIhZTg6,24,Polydor Records
73W27KjR3AcoPivsmoPGY7,29,Sony Music Entertainment
6oM9FUbmKXcFhAY8OCF8E3,54,Global Records
3WF8bQB9t8YBIPlt8Eji0D,34,Republic Records
5WlIaO01WgBI2S44uFfqOL,56,Rigoberta Bandini
2fCIKdtXMGGbDzZXerpLXl,39,GMM GRAMMY PCL
3RIBQihckDpripUn1a63Nf,0,Yellow Beatz
6wTRYs7bQ9MNdeVYGjlrWr,33,POKO
5beiUIo0Lme6mho75o9UFT,44,Italian Somali
6ap7EgZFWKOCrsGZyAzM9U,10,Warner Music Nashville
04iKqMsYr2OYUCDn3efMVh,24,Lhast
5iK1vI2joFeDFvaW2hGpRH,47,Bin Music International Limited
3ynoYncFXzo2OfPT8j93Pw,57,Island Records
6PFLPk8ZYuYa47q3B1tkhb,39,Times Music
15zc07vaQjq4z3NbjepBe3,42,AnanasSquad
7nn2Iaphg0Vc1NCGULkhVo,67,TrapSoul/RCA Records
6lgoBrZz889jkEyVXTvlKb,23,Sony Music Entertainment India Pvt. Ltd.
5oddKuDpZE5aTn2uZ98Bbq,66,Ariola
6AW51ww4T6cgKSxfj9PybR,62,Worldshow Promoções e Eventos
70KWscv56jX5G9GBmwigAx,35,WM Italy
6MoaDh76Fsg0ogW2l7HAFx,76,Sony Music Latin
6wajc4Ov01rIdKI5vIYBhY,33,Top Notch Music BV
6AWCZp78ApmGVCT4UlWF9b,66,Parlophone UK
6higzjV6Ck8BfzSiX8Tgwo,53,Paid in Full Records under exclusive license to Amuseio AB
5ikMAXWavw8AnyfeoG3YWZ,24,Alda Music
5www5PCOdkBpuNCanxeo6L,51,Polyeast
0iyDQQG3dVAYcl6StMR6QJ,0,Tvoj Tatko Records
2Y1MusCp19kjXXpFFZAT0G,57,LVRN/Interscope Records
0tRcWXovIIjJxAYfdQP0AN,0,1864257 Records DK
0LqPAOTkSuwPmdDreV7ICe,0,Big Beat Records
4ppaty0ZgjZaRtHcU1lQED,2,Mil Music
4NLnqDmGMjXoLcI7tzMTFe,52,Sony Music Entertainment
6ZoO8rPv6Wjpdmfs1XJ3gL,40,ДЖЕМ
7KPCDy1LsPaT5GXIVOJcLe,35,WM Brazil
1iWFOvjt1FQfkMJrZxtwiF,54,Sony BMG Music Entertainment
5UEtPx5oDLdcsIeRA3du9A,34,Illegitimate Dropout Records
62pPnEicYYfFmFAgdKatam,49,DOĞAN MÜZİK YAPIM
6GnPOzkkAlFUmxrwnp1yjf,48,Atlantic Records UK
44uv6df665cIAnMES7zXql,42,KHK
1U1uqmoe8hdbqZWRqd23li,49,OVO Sound/Warner Records
7gWDPzikPHrUv9Ca86g7lu,16,Spicy Disc
1npxjX9LumH3L4jOHv592A,16,FlyBoi Rich
1Yu7GXOEN5vHaNMTt2eszD,51,Earth
6S0bYSjSFWAk1cCWjLuZ71,11,Times Music
0flHUcoTFiyujvz0JpfBja,53,Som Livre
6U5j597olXfdjtd6wHd3Cu,70,Internet Money Records/ TenThousand Projects
1kEmL21a8vvGB6GlK93MiK,0,NMC United Entertainment Ltd.
0bh7YEKdIKMFbQPQCyKsgX,41,The Sound Times Entertainment Media
7GlEmST3n9NUKZsSeZ1q6t,34,Alpha Music Empire
6rWrQmCAsrocRq5HL2dqgU,69,Universal-Island Records Ltd.
1J49KsPtyL5sbGKngDcktQ,67,WM Germany
3VgEmCnmPKVWGupo6V0npP,29,Alda Music
0CgvVfyNywoIw0rcFsdgsD,58,Sua Música
3Drv5DypoxMUk4i1jgkVAj,32,Mwuana
41gMZm0ib3Je8hU0eFNUwS,70,Arista Records
63lCCebNDe20nxyCvFWk8g,64,Sony Music Entertainment
6tGI9MGbLjbxyzcxYkMXPJ,64,Universal Music Division Capitol Music France
0WoIYNTisZHfcD6NF5H7a7,20,Arista
3u1dsCyCvCxk0kH1whn1oZ,0,Mogul Vision/Interscope Records
2QCjphhREiUmktnia4bF3Z,36,Noah's Ark Music BV
73s1qvBbUMXivXpASE19FX,25,Kalan Ses Görüntü
1TUqKqYYAjCnm18b9Umfoa,35,Universal Music AS
2iuNqo9s44mYo3Bhxh52an,0,Atenzia Records
11eoGFfGpI0S2sWGV3CX6Q,43,Fivestar Records
0XdwaOkaqE8BJp8c136ZSo,34,Born In Soweto
2RuYsBRCgFEantZkX83W2Y,73,Hollywood Records
5f8YxWD8ABkS6PEutNdZ5O,38,Selfmade Records
3mzpAlAkhAB0cmqAw5ie3Y,0,Hot Shade Records
5Pbtsfyg1Qr5ZhZFP7YBpW,59,GR6 Music
4qL7BYqY6TBwEdNOcfMKNs,27,Stay High
6cvTtKyYLGJGKKe99Lpnh6,30,Universal Music A/S
0zqGV73J0qnjXJvJq3NfjD,0,Sony Music/BHZ
3nbleWYGqaHVLppuarAWsw,47,Seek Music
2mDUQf0t9BfK4niWwr3Mdx,60,Magenta
6VhM7zAvUlBinlBcv1jkB4,49,Polydor
6Vb5HoM5ljs8LAycpswhZ1,0,Bitten Of Pit Official
4Lln9PiGXqv11WWzheEQIt,10,VILLAIN MUSIQ / Top Tier Ent. / EMPIRE
5fIMhUwxG1wnCHntuDy120,49,Rimas Entertainment LLC
0PZQQ2j1HRb42tOq1a5RE4,44,PDND MÜZİK PROD.
4cXIgbyyyQpgXDvLTE3dX6,20,ARAWEELO MUSIC
6egzU9NKfora01qaNbvwfZ,76,Epic
0Mpe1VWJDZ5FxbZlE1nUaU,72,Republic Records
6pVz4S22k49D5hPxwBceU0,47,Nettwerk Records
1IEru9mIBNwqx7lLTLuELC,37,BIG MAN Romania
5XV1knoj6Mi2HxtQhuHk8S,25,Follow The Eagle
7JxLxbFGKQ3Cf6GQnix05k,26,Hui Hvang Enterprise Sdn Bhd
3Um70L0urBKr92bVZGs7Z6,31,777 Records BV / Top Notch Music BV
0JF97yTibdYQh25AaFuioF,56,UMGRI Interscope
2NvhgnBDyq6PETfzXM9kZk,27,igroovemusic.com
1M0lODGuJBWpiSqlw43qWt,51,OVO Sound/Warner Records
4YoUocIVZVJliFo1mH4URu,40,WM Finland
76bNdLqQnSnzU145Com1b1,46,Sony Music Latin
2SwNs2FYYcTxefM2oXPebp,61,Universal Music Ltda.
3hKjzbCr8wCNcjr54dYYv6,54,LANY
690pUClDw8R1pqWSDQa21r,43,"Rock Records Co., Ltd."
4EgPfZ0IzHjQODIkFmAZzm,0,Hear This Music
5ouQIxrRj3K0OqwKB66Qk8,50,Minos - EMI SA
3JWVglFWixOUH9BraGkQOw,15,Stereo Stereo
3Q149ZH46Z0f3oDR7vlDYV,1,Roc Nation / Rihanna
2CV86ZVlL1h8DofUs7kIL3,0,에르타알레
1P0J7xsPXIQMW56rxHe21u,0,Universal Music Group
3FxT1ChxLEd7J6CNXILenF,0,Azet & Albi/WM Germany
7bhAX6cU5Rw8BCIPhVk7w2,0,Hatim Ammor
4sDGo9aQ0A2SUzYBkh6pGd,0,Copenhagen Records
6YZcpfaEGtVxr4pmVpZsyE,11,Sony Music Labels Inc.
4TkmrrpjlPoCPpGyDN3rkF,64,Atlantic Records
3MXBHssSBvGLN9BPsCWqJR,20,GMM GRAMMY PCL
5DHv4n2g6Zr1wvosLEKxAL,33,Sony Music Entertainment
