id,popularity,followers.total
4Mp36UE9keQ7vXLcVLWzmN,32,1081
3nQ59hkeciYoR6RreQL4Rv,59,117231
0yXnlt5jRxHG7Ewhqn33NS,36,36
2PbU3CmXZmV6dPfzLONLIA,27,9040
140rt2E4rTCFAA6R6cbyYb,49,20495
7qlh1IM1XMeQXA9ukp59au,58,314071
77kULmXAQ6vWer7IIHdGzI,73,564011
3KLnXlVNfeD3MKwAntViO8,0,1144
0A0FS04o6zMoto8OKPsDwY,80,2770871
41uk6Pr8mGHGkxK79hgF9X,27,26
6kzEO8SiWJlbaMoGnnih7R,28,1415
5F7FUfB6qJvMEhcWbi5Via,33,1128
3yDixC6rzq0qg2HmZTobCO,54,4465
5Q2fyL2TcdUY9IqKTkGk5G,61,238496
4wxuAb9fWzcKg0s7VVKb3v,56,78934
4DCi3ihpMPqe9l3D9sGbJI,30,294
13U2oRt6izgyRfuSBbeMTo,49,2231
70sKAVLsFWS1Ym9WcrfxCr,23,802
5f5mH9BDkeyXmDbzevu38d,65,81070
0LvzywQsf3X6Gt6aGAdlDq,49,134344
3a185Ryw0UxPiGvB3mS2EJ,51,482
08f43lunay0gG19Cd7k3iU,27,15
0OdUWJ0sBjDrqHygGUXeCF,65,920958
2lD1D6eEh7xQdBtnl2Ik7Y,53,115359
5HeUjWClBMbaVtHAQE1WNI,33,2235
5q3cyUYQTJUOSZ6Sciduxv,39,31456
4nXXIxTneJksvGXrlmX8oA,68,316694
22Y0wVJzrL68AKJk61nZd6,34,15370
1KiNUGL3r0GgyLwqYCY1yV,62,40980
57GHC729HxFYHl1vGe1qaX,50,27983
4z8RS429GvKYDiAlgZ3w4s,5,120
0LJ84eGN5V4Av9rj4xzLSS,29,5469
1adz07qkurydHDZRSePFhI,53,857
25u4wHJWxCA9vO0CzxAbK7,76,1912005
20SBqzpuFoymhieHTNHUgl,56,171670
6tX4thVIhwBQyJmBHS7Ifd,47,1206
7fMaGYPt2Za9wzgOWhWYG4,27,2081
