artist_id,main_artist,region,artist_total_streams,artist_chart_appearences,artist_titles_in_charts,artist_days_in_charts,artist_top_position,artist_avg_position,artist_streams_per_capita
0KPX4Ucy9dk82uj4GpKesn,Dalex,Panama,4384433,1077,19,803,6,85.39275766016706,1.0006504498488331
6z7oJJfl0VPdH5sFgogqMq,Mary Jane,Turkey,94426,3,1,3,187,191.66666666666663,0.00111033586689873
6KQWWzFLPQbqomJrieHAW5,Tokyo Incidents,Japan,3289607,128,14,118,23,144.828125,0.02609747105444697
1xoWYqTvsYArxO1Xge3TG4,Michela,Germany,55246,1,1,1,165,165,6.584706777152657e-4
6iEtDs1Kp1FvrLlKTZ1BvS,Ekspressen,Denmark,56826,3,2,3,139,175,0.00977516736615438
1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,Finland,8531,1,1,1,164,164,0.00153757118543656
3gTZHK9u10mTyoEoT9tJaE,Lean Trap,Peru,367587,25,2,16,48,77.6,0.01101898819268863
26VFTg2z8YR0cCuwLzESi2,Halsey,El Salvador,2144088,1380,6,1050,4,105.55869565217444,0.3289235253509243
3fWTpVNnrGmdo0jMbsRsRf,Nadine Coyle,United Kingdom,46511,1,1,1,156,156,6.819083417017175e-4
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,Thailand,384936,53,1,53,79,121.188679245283,0.00550295004303307
6HqgxkTt9KGyt27zYrwVan,Super Yei,Argentina,16230607,300,2,300,15,103.3333333333334,0.35588891795681443
7gIeuq2qBfYhO1budb6TSQ,DG e Batidão Stronda,Portugal,92231,10,1,10,35,78.6,0.0090707807287683
6ModsWtBph2rE6zCTVxvZt,Maite Perroni,Guatemala,97907,58,1,58,102,133.17241379310346,0.00536480592626752
5tKXB9uuebKE34yowVaU3C,Iyaz,Switzerland,6394,1,1,1,195,195,7.336359820797306e-4
2ZYIql5vmxtz3LbDLIaWo9,Luke Kelly,Ireland,92840,10,4,5,30,98,0.01863170552753976
0c173mlxpT3dSFRgMO8XPh,Big Sean,Austria,257270,111,2,104,69,127.3783783783784,0.02844940303472094
1OKyf1iS27lqvUFebKrbee,Cazzi Opeia,Sweden,23236,1,1,1,165,165,0.00228697208380301
1fLIzbK5e8MGrLKj1dEMsg,DJ SMASH,Russian Federation,3070210,169,2,169,22,64.71597633136096,0.02104151500278709
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,South Africa,74218,58,1,58,72,136.32758620689657,0.0012361014780388
4Z4afeDmHFxPmJorIwupbZ,Netta,Germany,2158307,29,1,29,23,110.34482758620692,0.02572461124801075
6sCbFbEjbYepqswM1vWjjs,Zendaya,New Zealand,3158291,354,3,173,30,112.63276836158198,0.6497682816385161
4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,New Zealand,47773,5,1,5,97,156.2,0.00982853705333575
7mgc8XSH5QT4omHvBak6Wo,Quavel,Hong Kong,4580,1,1,1,124,124,6.06397627369982e-4
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Lithuania,682627,345,16,331,2,48.371014492753645,0.25377770309406206
11Btx4OSslXiCuROmLwqgr,The Legendary Fruitman,Italy,427495,18,1,18,117,171.05555555555554,0.00708154562247605
1iibSB0v1MIXHVAnC4pgxC,Mark Millar,Latvia,1002,1,1,1,142,142,5.367088499111378e-4
5zm8RkAvafvF2A6c5tdzXi,Karola,Hungary,2879,1,1,1,180,180,2.988324256951461e-4
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,New Zealand,38567294,3419,33,1409,1,104.83767183386956,7.934609049586454
2hcsKca6hCfFMwwdbFvenJ,BTOB,Thailand,3794,2,1,2,196,197.5,5.423808753472653e-5
1Yso012dk6JFCIGwvCxTBS,Xen,Switzerland,381920,64,16,45,49,129.59375,0.04382080923926974
6RHTUrRF63xao58xh9FXYJ,IVE,Malaysia,1998846,73,1,73,5,21.054794520547944,0.06098468720972645
1ZcnsSFqWusWlRK01vKE6b,Montaigne,Belgium,9170,1,1,1,155,155,7.883198677066872e-4
3qBKjEOanahMxlRojwCzhI,Zacari,Portugal,7596,2,2,1,136,143.5,7.47055224552743e-4
6Ad91Jof8Niiw0lGLLi3NW,YUNGBLUD,Switzerland,8759,1,1,1,107,107,0.00100499179966161
78DVZhmskTStTuRbTMHO7A,Минин,Ukraine,13239,1,1,1,28,28,3.045771324160759e-4
4hdV053RZJO6dHspJFe2Ru,FlowRag,Austria,45778,28,1,28,153,179.89285714285714,0.00506221779501479
3jGlU8UMMo44I2xeLQ6FD3,Dalmata,Colombia,260940,46,1,46,138,173.97826086956522,0.00508993893224145
79AyR6ATpj2LTPxfb6FX50,Lauren Spencer-Smith,Romania,47041,15,1,15,110,165.6,0.0024593036763508
6XNIpaZ20z54hXfWy6l7uC,Angel Woodward,Portugal,16053,3,1,3,103,133,0.00157878850970842
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,El Salvador,312979,190,2,185,27,54.93684210526315,0.04801396026693257
34qU0b0yRjEzRJtknerEDS,Sonora Carruseles,Guatemala,1148,1,1,1,184,184,6.290456457000127e-5
2NdeV5rLm47xAvogXrYhJX,Ciara,Taiwan,14988,4,4,4,120,158,6.282957440215489e-4
1xv3g2RvQ6VMM7vlog6SOB,คิงส์ ชนาวิทย์,Thailand,167998,25,1,25,145,171.8,0.00240165794139667
3sum8ccg4vBMci3mJro7s0,Aknestik,Finland,12170,1,1,1,85,85,0.00219344054938025
2MREhFiavCOZXs0thPLuWu,Kappa Jotta,Portugal,2013743,311,4,311,51,113.78778135048226,0.19804860835393817
7dGJo4pcD2V6oG8kP0tJRR,Eminem,Italy,25595109,507,57,205,7,115.370808678501,0.4239884258195941
787bCXOIvGeBw0Bc4kEjhD,Luke Christopher,Canada,2677907,73,1,73,39,69.83561643835617,0.07034551644583195
2wjrpNgIUtipRL2CPdfb2N,Good Harmony,Denmark,8280,1,1,1,154,154,0.00142431960355749
2Mc2mpqZBpusdzitM62VZM,Carin,Bolivia,4783,2,1,2,143,155,4.042107554710006e-4
6dbdXbyAWk2qx8Qttw0knR,Josman,Switzerland,73374,10,9,3,81,143.9,0.00841879989820427
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,France,3351718,141,2,141,33,147.0567375886524,0.05122900578464182
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,Sweden,50077,2,2,2,116,131,0.00492876144950093
1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,New Zealand,93199,14,1,14,103,139.35714285714286,0.01917421608092099
7eLcDZDYHXZCebtQmVFL25,Aitana,Ecuador,5201866,349,6,330,1,93.65042979942687,0.2907942846326635
2R21vXR83lH98kGeO99Y66,Anuel AA,Thailand,93956,27,1,27,106,150.5185185185185,0.00134317178503235
4rvQVbdaE4P3WvsJMWu37K,TheSmartLocal,Singapore,155339,19,1,19,101,142.3684210526316,0.02634344997968349
2cFrymmkijnjDg9SS92EPM,blackbear,Spain,158609,5,1,5,194,196.6,0.00339305346166904
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,Mexico,69881077,585,4,529,16,95.21538461538456,0.536464655676834
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,Brazil,347681,1,1,1,45,45,0.00162472736722804
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,Russian Federation,24275,2,1,2,133,158.5,1.6636737444430727e-4
4FpJcNgOvIpSBeJgRg3OfN,Orelsan,Belgium,14468244,1368,42,329,1,98.50657894736833,1.2437954412244352
2WuXRwEjXIjW5uVZOSxqYS,Robbie Doherty,United Kingdom,11892362,160,1,160,55,102.18124999999998,0.1743566220966335
5QNvOT9HHnlMYzgoJrDjtX,F3M,Finland,7289,1,1,1,173,173,0.0013137212953519
4obzFoKoKRHIphyHzJ35G3,Becky G,Costa Rica,9587951,1436,7,898,5,80.19428969359282,1.8657038563330637
35V1WomiedCJeGfupcPm7s,Tananai,Italy,3540633,12,2,9,8,52.91666666666667,0.05865133889740055
56SjZARoEvag3RoKWIb16j,B Praak,India,256723085,2607,16,962,1,89.88339087073274,0.18424100814624184
2KkO9uXHF9BVNJASjLekAc,Franco126,Italy,53045493,895,31,638,1,125.3106145251397,0.878709876714895
2yJ6lsLqG06r9bckSTQRt4,Zkr,Belgium,65323,9,9,3,98,171.33333333333334,0.00561563999108003
2HUwZ0kumzCSlhFcjFZfpp,Flipp Dinero,Lithuania,47050,40,1,40,32,55.325,0.01749160365847764
3IniCa6EijyZ3bsY0eTG3C,NCT 2020,Malaysia,10222,1,1,1,106,106,3.118726868692354e-4
6zUohwxj78LtEvlXR4T8fU,Ldln,Mexico,5977946,21,1,21,7,31.666666666666668,0.04589163304602056
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,United States,201264100,612,30,478,7,102.49346405228754,0.6045508771405166
6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,Greece,577002,131,2,131,90,134.65648854961833,0.05563745793817938
