id,artist_id,title,main_artist,region,artist_total_streams,artist_chart_appearences,artist_titles_in_charts,artist_days_in_charts,artist_top_position,artist_avg_position,artist_streams_per_capita
5QNxvRRPlr29dsVBdgzPTC,5dPBeuSKtu5vLz1Et8YSVv,Chi mi sfida,Mostro,Italy,73120,4,1,4,109,151.25,0.00121124835592334
7iwhbx1YQcQ675DTj6AmAb,329e4yvIujISKGKz1BZZbO,Mamacita (feat. Farruko),Farruko,Finland,44951,6,1,6,152,174.33333333333334,0.00810167182704946
3vgNmjuRDnGLxUFGCLkwpm,1Cs0zKBU1kc0i8ypK3B9ai,Light My Body Up (feat. Nicki Minaj & Lil Wayne),David Guetta,Philippines,21507,1,1,1,155,155,1.9367490729818595e-4
3JKgcAa7r07ocVWcV8bS0H,6AgTAQt8XS6jRWi4sX7w49,21,Polo G,Romania,14137,7,1,7,176,188.42857142857144,7.390824190083403e-4
7hDc8b7IXETo14hHIHdnhd,3TVXtAsR1Inumwj472S9r4,Passionfruit,Drake,Italy,5543225,152,1,152,16,75.71052631578938,0.09182470141908047
6O5TrlFWTYvznd9fMC0VvU,4dpARuHxo51G3z768sgnrY,When We Were Young,Adele,Indonesia,3473232,67,1,67,53,127.59701492537312,0.01256769984423461
4qKcDkK6siZ7Jp1Jb4m0aL,3TVXtAsR1Inumwj472S9r4,Look Alive (feat. Drake),Drake,Taiwan,330803,67,1,67,51,96,0.01386723492190822
0J47tsoZf95YNsIHnNBo9p,540vIaP2JwjQb9dm3aArA4,Broken Summer,DJ Snake,United Kingdom,45933,1,1,1,182,182,6.734341523378339e-4
1rTnGbIahUmq6fK8RWAXfd,1qW9Pi35NXnu7Q8KWyVYe6,鯨落,陳卓賢 Ian,Hong Kong,4402860,423,1,423,6,36.59101654846336,0.5829440737210041
3UwT4FadEGWyMdaSwYcUBY,1Hsdzj7Dlq2I7tHP7501T4,This Town,Niall Horan,Taiwan,11315,4,1,4,163,180,4.743238820125317e-4
4aUP6JJxN9BGG8e2JgXxPa,6rHE0A3rG4b8BK4ub420jw,Be Alright,JillReece,Nicaragua,14419,6,1,6,51,96.83333333333331,0.00215132567107888
3J4VKkUpLvomXJbn9ZAypO,5f7VJjfbwm532GiveGC0ZK,Sharing Locations (feat. Lil Baby & Lil Durk),Lil Baby,Sweden,20541,1,1,1,164,164,0.00202172032937673
3hRZsdTF5uyGA2uhNqEuhm,1Hsdzj7Dlq2I7tHP7501T4,Too Much To Ask,Niall Horan,Guatemala,25269,20,1,20,129,169.9,0.00138461275445937
5C0ivQMxes2lWuOANhvVAm,47mIJdHORyRerp4os813jD,GIANTS,League of Legends,Panama,8115,5,1,5,137,157.4,0.00185207035904603
5b1uZnebDRcR8XuBsDTPiO,6fOMl44jA4Sp5b9PpYCkzz,Like This,NF,United States,243092,1,1,1,200,200,7.30192229144902e-4
6cLCzmY3Z1ZxILaVhbbRdL,5DtQ3MpxpzAyDvgMNFWN1r,Sür Ya Da Öl,Tepki,Turkey,180050,4,1,4,113,163.25,0.00211717083043988
0nJQ7GozJwJdVahaMnDFQX,3a0gvZAydt98HKVbGb0V67,Chill litt,Sondre Justad,Norway,112222,7,1,7,54,115.14285714285714,0.02053231201751893
4MdcsdRj7i8eBm0qFjO4L4,0C8ZW7ezQVs4URX5aX7Kqx,Feel Me,Selena Gomez,Sweden,307621,14,1,14,123,160.57142857142858,0.03027718365431092
7E1lnnPsrnHslXSWomUkLP,3nFkdlSjzX9mRTtwJOzDYB,Entrepreneur (feat. JAY-Z),JAY-Z,Switzerland,6774,1,1,1,179,179,7.772364939956358e-4
6n4nlEt4CXqo7q3r1UUGvq,2frMmYVNhfh2cp6FDAFtgO,Mayıs 6,Rope,Turkey,678313,20,1,20,45,144.9,0.00797614272428864
5qN4HFkapdAOV94XPryVof,2YZyLoL8N0Wb9xBt1NhZWg,Black Panther,Kendrick Lamar,New Zealand,122055,16,1,16,56,124.0625,0.02511088041456252
7FEwp8BavoEVE3AnxJDchc,3TVXtAsR1Inumwj472S9r4,No Guidance (feat. Drake),Drake,Costa Rica,11557,4,1,4,178,185.75,0.0022488579121484
69Ej1xrGjOcHvIMtMKxK0G,33ScadVnbm2X8kkUqOkC6Z,Dile,Don Omar,Guatemala,2720050,493,1,493,93,156.80527383367138,0.1490449136399233
1oJ8EDr2pv94IvSd6ZmDgo,5K4W6rqBFWDnAN6FQUkS6x,MAMA,Kanye West,Switzerland,427661,43,1,43,3,106.95348837209302,0.04906904875386295
0dZpw3h6KZhcHec61qwevZ,5EvFsr3kj42KNv97ZEnqij,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Shaggy,Netherlands,18209586,159,1,159,3,48.27044025157228,1.0603555771604116
2XSO13Gyndo7MDdtYibIxO,4MCBfE4596Uoi2O4DtmEMz,Screw Juice,Juice WRLD,Iceland,9907,6,1,6,36,74,0.02885309878844361
5ZsIeVJdQ0d4Xk6mjRz2Cz,34zJjO7ns1qmMYJxJPF1wP,Muchacha Encantadora,Los Chiches Vallenatos,Paraguay,9780,2,1,2,170,184.5,0.00135463799377282
6kqIRJZ1TbMeatvATLUeuh,0chh7dlaUzEreDTulHiOlm,VENUS,KEiiNO,Norway,103257,8,1,8,65,116.375,0.01889206164560382
587Cj6WZ9NTCfYhpmVkGID,6kQfGeicc9EiQMzAYX0f9U,Spot the Difference,ONEFOUR,Australia,8966187,238,1,238,80,127.38235294117642,0.3476854177239163
55HtKTQeAdPbLz8NtlkaKB,40pdpBqmzrhobrnKocs4uA,LALALA,Psycho Rhyme,Czech Republic,2137742,260,1,260,14,34.29615384615384,0.1993315712086089
3jQvH2VoTRe5CEnIS0MnCE,1Xyo4u8uXC1ZmMpatF05PJ,Dawn FM,The Weeknd,Italy,110788,1,1,1,51,51,0.0018352267896066
4VrWlk8IQxevMvERoX08iC,5WUlDfRSoLAfcVSX1WnrxN,Chandelier,Sia,Norway,44186,4,1,4,165,185.75,0.0080843394236967
04Ba3HWxVJU6SHLqenMp7H,1PliqAiazZ7fUWok2vg2Ia,מה יש לך?,Teapacks,Israel,3623,1,1,1,188,188,4.121834276550392e-4
0IhoFEZWMXrwz66O3uUos1,7aLbqaCIv1zAI6HCfPCMjI,Sa Mire Po Dokesh,BARDHI,Switzerland,22098,3,1,3,95,141.33333333333334,0.00253548450609913
4CgqzEBRW3AeuAVoDjisiZ,2UZIAOlrnyZmyzt1nuXr9y,Me Has Dejado,Nicki Nicole,Uruguay,2644,1,1,1,179,179,7.586469686257587e-4
3US6RbELvvrPw3DcvtJmis,4WZGDpNwrC0vNQyl9QzF7d,Komm Komm,Capital Bra,Luxembourg,1221,1,1,1,33,33,0.00192339803469992
1sWiWerHnR6J4LNdFxdywM,00FQb4jTyendYWaN8pK0wa,Love,Lana Del Rey,Czech Republic,4838,2,1,2,94,95,4.5111437278551374e-4
5gqVVcsjt60FHUXy5v5vhD,5pVRwX5ZQR7hfJ18w8ZYkl,Immer noch High,Ufo361,Germany,42401,1,1,1,160,160,5.053726098867788e-4
6XBjCetHKdO5L9cwMDVffw,2R21vXR83lH98kGeO99Y66,Hipócrita,Anuel AA,Chile,37233982,230,1,230,2,11.673913043478269,1.938022092234156
0y1QJc3SJVPKJ1OvFmFqe6,7jdFEYD2LTYjfwxOdlVjmc,Way down We Go,KALEO,France,8162004,188,1,188,12,86.79787234042558,0.12475135143537426
0WQpbaimQ3Xip5wlpEZTlX,60UkyJpgRSEUtcVTasRFEq,En ole valmis vielä lähtemään,Kaija Koo,Finland,116384,18,1,18,152,177.5,0.02097628470822284
6KUE0HSSudAp9AOycaF6SH,3Nrfpe0tUJi4K4DXYWgMUX,Make It Right,BTS,Saudi Arabia,36040,16,1,16,3,116.9375,0.00101978796106922
6tByydPskASjm9jTPkNQq0,5IcR3N7QB1j6KBL8eImZ8m,Numb Numb Juice,ScHoolboy Q,United Arab Emirates,3636,3,1,3,82,90,3.639245114868929e-4
2nLtzopw4rPReszdYBJU6h,6XyY86QOPPrYVGvF9ch6wz,Numb,Linkin Park,Canada,597908,18,1,18,23,113.77777777777776,0.01570635091027974
4cHKd6qPMR1TMx55KHlida,1QfpRUtH14JLoY6F6AYmwt,Notion,The Rare Occasions,United Kingdom,642936,11,1,11,139,168,0.00942623081809325
4I2nZnEp1JZoHO4RB27VTR,0OzYRJJgttqlhZ63PHMndj,係咁先啦 (feat. Kayan9896),MC $oho & KidNey,Hong Kong,4283097,197,1,197,1,7.4010152284264,0.5670873053701938
7faDzZnZYqTyYThx2sbHVQ,1Mxqyy3pSjf8kZZL4QVxS0,Mistletoe And Holly - Remastered 1999,Frank Sinatra,Hungary,261929,55,1,55,33,116.43636363636364,0.02718752290027923
65Q2mv3UlVi9eO70OpsmSe,0MHgLfmQdutffmvWe5XBTN,A Holly Jolly Christmas - Single Version,Burl Ives,Thailand,10274,4,1,4,124,143.5,1.468745680895573e-4
33c5MYdr80WqXws9pj06b4,6FH5vFm7hqDm3UzEAYuizY,水刑物語,Jer 柳應廷,Hong Kong,3175258,411,1,411,14,58.22627737226277,0.42040806058680225
7AD1bYfx0VfFCFZgEbsya4,75CM5fojYdKYD0xYSFh22Z,路過人間 (電視劇《我們與惡的距離》插曲),Yisa Yu,Taiwan,563874,33,1,33,4,32.45454545454547,0.02363755233282671
0rTV5WefWd1J3OwIheTzxM,6LuN9FCkKOj5PcnpouEgny,Talk,Khalid,Bulgaria,17618,14,1,14,22,38.214285714285715,0.00255457174528811
7zwn1eykZtZ5LODrf7c0tS,77SW9BnxLY8rJ0RciFqkHh,You Get Me So High,The Neighbourhood,Romania,150260,42,1,42,90,119.3095238095238,0.00785559342719057
5QZKcQDp0tCcvMdyqEciBV,246dkjvS1zLTtiykXe5h60,Tommy Lee (feat. Post Malone),Post Malone,United Kingdom,1309410,20,1,20,69,112.75,0.01919755760374204
3Uo7WG0vmLQ07WB4BDwy7D,06HL4z0CvFAxyc27GXpf02,willow,Taylor Swift,"Korea, Republic of",122186,68,1,68,23,94.45588235294116,0.00238155271015108
1KFN3kB4hc6r7ILpifFsqf,7FNnA9vBm6EKceENgCGRMb,Veneno,Anitta,Costa Rica,36270,13,1,13,121,148.69230769230768,0.00705772055668622
0s8lqhWa3SMVR5w4TONMCI,3Th60WEZwIWceINQVE4Ipx,ДИСКО БОЛ,104,Russian Federation,79961,5,1,5,78,136.6,5.480083059914007e-4
78hFU5ACzAz7GTQJezkOsL,71BhXa24Zf5zcikUb00l2N,Trap CV,Juice,Sweden,1516831,35,1,35,22,70.94285714285714,0.1492920534019202
4wT9xC986HKw6LMObnOLfr,3TikHXhctY4FUIMlkl0tzR,Тысячи рук,SODA LUV,Russian Federation,6729596,239,1,239,7,85.04184100418415,0.04612091524576364
4ZUfbHQOBeEOyf6EArWXA3,66CXWjxzNUsdJxJ2JdwvnR,Bed (feat. Ariana Grande),Ariana Grande,Hungary,1902,1,1,1,103,103,1.974224639361472e-4
2Kamc2tkG8WXlEmFRkgZVQ,0rJEJ9T9JwC6ajdnMeqREY,Ingen annan,Kaliffa,Sweden,25049,1,1,1,196,196,0.00246541417314433
5CLGzJsGqhCEECcpnFQA8x,3JhNCzhSMTxs9WLGJJxWOY,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Macklemore,Japan,1122301,152,1,152,53,90.79605263157892,0.0089035613864747
3J6bLodhUHgNyzEZLgcieN,1Xylc3o4UrD53lo9CvFvVg,Love Me Land,Zara Larsson,Sweden,5462127,114,1,114,7,58.16666666666666,0.5376025119291933
2U5WueTLIK5WJLD7mvDODv,4MCBfE4596Uoi2O4DtmEMz,Wishing Well,Juice WRLD,Ukraine,86369,45,1,45,64,133.59999999999997,0.00198700977034852
5b88tNINg4Q4nrRbrCXUmg,2RdwBSPQiwcmiDo9kixcl8,"Happy - From ""Despicable Me 2""",Pharrell Williams,Turkey,6807,1,1,1,81,81,8.004210965178731e-5
2LskIZrCeLxRvCiGP8gxlh,15UsOTVnJzReFVN1VCnxy4,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,Portugal,3501337,245,1,245,1,50.66938775510187,0.3443512504962911
75ZvA4QfFiZvzhj2xkaWAh,246dkjvS1zLTtiykXe5h60,I Fall Apart,Post Malone,Germany,12042533,193,1,193,52,106.56994818652844,0.14353355656370512
6620Y9QwLGuz1cIM1XVibG,3ghRXw2nUEH2THaL82hw8R,Perfecta,La K'onga,Argentina,638573,17,1,17,114,169.2941176470588,0.01400200584035069
0WxxSbsSHMoUK1uvWuMEbT,2FXC3k01G6Gw61bmprjgqS,The Parting Glass - Live from the Late Late Show,Hozier,Ireland,6460,1,1,1,157,157,0.00129643276290291
0jo6Nd4iJU0UFHqS0Xd4l4,4MCBfE4596Uoi2O4DtmEMz,Fighting Demons,Juice WRLD,Czech Republic,13666,3,1,3,103,126.33333333333331,0.00127427222374676
1lxswgIpzV6HhENRvkflES,329e4yvIujISKGKz1BZZbO,Chillax (feat. Ky-Mani Marley),Farruko,Guatemala,1066017,401,1,401,15,81.34413965087282,0.05841231290001659
1M1fZ8tqhNWvqEMPIBR9th,0ltU5V1lbLkZlgXrnCeGjx,Spacebea,Qlas & Blacka,Netherlands,226904,5,1,5,45,92,0.01321276177723129
6wJYhPfqk3KGhHRG76WzOh,5zctI4wO9XSKS8XwcnqEHk,Blueberry Faygo,Lil Mosey,Sweden,253956,10,1,10,94,125.6,0.02499527812507658
3NP2nqAgMELIV3MAhrFNMx,0jJmZHZHNe8n24Y33z5Nil,猫,DISH//,Japan,17132818,223,1,223,16,56.650224215246745,0.1359199508744078
7pZmslu3dzUfkTk5XXqxLT,5mNowcxxg3M2Iros4GTfXw,Toyota Celica,Ruusut,Finland,53586,6,1,6,95,130.83333333333334,0.00965798728669601
2D4dV2KXDTszzJ3p3cFqhA,1Xyo4u8uXC1ZmMpatF05PJ,Less Than Zero,The Weeknd,Malaysia,136129,11,1,11,52,95.1818181818182,0.00415328869016064
2z6e0caDe0o6I1iQwGYkak,6h5P3J0j1x2lhiDk9w4deZ,Vur Vur,Eypio,Turkey,1138146,56,1,56,37,139.5,0.0133832241709627
7zAGi1cps7yYhAajGXlFTH,3vQ0GE3mI0dAaxIMYe5g7z,Chica Paranormal,Paulo Londra,Paraguay,608962,163,1,163,40,75.74233128834352,0.08434796134600045
7MRyJPksH3G2cXHN8UKYzP,4tX2TplrkIP4v05BNC903e,American Girl,Tom Petty and the Heartbreakers,Sweden,33857,1,1,1,64,64,0.00333232974011528
0k1WUmIRnG3xU6fvvDVfRG,3TVXtAsR1Inumwj472S9r4,Way 2 Sexy (with Future & Young Thug),Drake,Honduras,27934,14,1,14,56,154,0.00277591341105837
64EDGnUytmCV7TfOo67810,3paGCCtX1Xr4Gx53mSeZuQ,90's Love,NCT U,Taiwan,68783,9,1,9,116,151.77777777777777,0.00288337777962598
0Yeh2VJCsxSgbftSGTiUbN,6JL8zeS1NmiOftqZTRgdTz,"Holidays (feat. Earth, Wind & Fire)",Meghan Trainor,Estonia,1322,1,1,1,172,172,9.975943036006968e-4
3gWzTnziivUYzqXtnvgN8q,5K4W6rqBFWDnAN6FQUkS6x,Jonah,Kanye West,New Zealand,209996,13,1,13,9,64.61538461538461,0.04320334638922183
4S6fv0puLCsfYjyBTPDb9k,5WUlDfRSoLAfcVSX1WnrxN,Helium,Sia,Sweden,115581,7,1,7,143,163.14285714285714,0.0113759046487363
6gs5em8StPEb9jtrHuvk4G,64Eb4jttIVIP6T2qVBP8wh,Finetsa,Slogan,Greece,2075,1,1,1,157,157,2.0008201916409685e-4
1JIgaRnqtzS7DuGM3hVZU9,4xRYI6VqpkE3UwrDrAZL8L,Keanu Reeves,Logic,Romania,8963,6,1,6,94,145.66666666666666,4.685856774118805e-4
