id,artist_id,artist_popularity,artist_followers_total,main_artist
2Rss87Qg0sbJ2JNPx6u9u9,1LxWE4LOhnqeaAx2tVUK6p,57,108763,Saske
2AmjhQbiL663mGtaVDB6Jx,540vIaP2JwjQb9dm3aArA4,83,7679010,DJ Snake
2YP5Iu71jcEUEZbkej3mWE,7IAHFXVqySAlMVew7wJWYb,16,378,Mohes Beats
3uEJFR0oQeBaNMEXs4bTSq,0h1zs4CTlU9D2QtgPxptUD,80,8143028,Ricardo Arjona
2lx0qyIwpMY2RyGeBjUsuF,27gXGULpBivcbjjq4bu9hO,29,13942,Blackheart
1AEEWYcJzrTHksdQmixnHL,16S0vhZYtrfR4kksycV4NS,46,157790,Dollypran
2p6sSfFaPXRF8HBiQBGVKJ,6sShbaFnqvxmlnWOJsZoI9,37,8469,Maggie Fu
3SofmoRBuARDoFK0MDtrHF,5vU1ds0ZCeDmd25UsU1rcj,19,45,Godnota
0E4Y1XIbs8GrAT1YqVy6dq,6eUKZXaKkcviH0Ku9w2n3V,96,92452259,Ed Sheeran
39wukX8RnU7JSi0Isvewhp,3bAa4FKwIgwWYHdaUJicmE,54,60554,BEHM
3x4wCDMd69qsBahGQpNmWU,5UbgVjyCkpIMOzQuOI4DOW,47,100655,Chava Alberstein
17iOgxgWopRkC3zg9Us6AS,3pjq2pDV9RR6VY55wBjVnp,75,902794,Dardan
3w0GYfhnGVh0xdhW5KcYwG,2QoSPr8Jx3mLTCqgfpAwKb,42,35721,Marie Key
5X066Y7rS6wVRVLjRtGyUq,0lI3rF4hi4op6UxqlLHPzv,69,766958,Achille Lauro
61AD8cLN4EvEs96MqYucYA,4D8m6VLd1ySVC6A2tzFvrE,53,21004,Nelli Matula
7d14d4ACFoHLBcpYFHAf3Z,2Thm0DrqB7WBjjJHWyXjty,24,4133,Jesu Bankerz
7qNLWNcV9g0pKEjUBRjfzS,1pf0MPKfKdvS8J779mS1Ay,75,2547311,Miky Woodz
6RI4vcMGJk6cqAuipV7soH,1XYuC1vxinTjHCNd5clB8C,70,1659372,ARASHI
4a0OYMqeBOGuzCPLg5SfWU,5dCvSnVduaFleCnyy98JMo,65,940726,HEIZE
10WrTQMhZu2gocF8UB6obr,2o5jDhtHVPhrJdv3cEQ99Z,87,6189396,Tiësto
0DG5cF1AxYfkeRgjXu9R3x,4MU4rC7z6JpqxqbHDqtz7H,63,83950,Keen Levy
5MIpcd16T59wFeqAChSYwC,1v1khTmozNfxB2ET1Ep288,66,764279,Last Child
3Mp6HobnoQEyjvCGSVQUay,0MIG6gMcQTSvFbKvUwK0id,76,1150572,Mata
3eLIWv8wmb9nAp8C60kfiT,51MxI9mWmRMPLK9eNlyQ7o,68,191862,3robi
7f0jXNMu2xjQUtmKMuWhGA,0Je74SitssvJg1w4Ra2EK7,66,358170,4 Non Blondes
7uYCHSy8JLsMKwwuoYAZFM,1QNQUlR0uLW0ovRuVRjYir,25,1205,Josef Bamba
2IoVnTEyj8NdFBpWoEFrMZ,0c173mlxpT3dSFRgMO8XPh,84,9276030,Big Sean
08hm0V6cTsWDX62hW42sEv,69GGBxA162lTqCwzJG5jLp,85,18785368,The Chainsmokers
3I0jAa62srnP3D2jhsiq6d,2ra3quFhImLyv0c9XTnWFl,52,240063,Melisses
3fIJFcqNEqKsfK52y6q1CS,7f4ignuCJhLXfZ9giKT7rH,76,5047035,NCT 127
0QcVKhVp9iHGZ1pj04yTbO,3Mvc8kRgr8LRYYgvFmlZqn,60,649963,Ayumi Hamasaki
2bmlo7ze2SmrVooKmSYbDm,7BFnoFhJjLWcsqmN3Hizqg,63,512436,Joe Arroyo
1DdgqEZk4Hqfpl3drdXJun,5K4W6rqBFWDnAN6FQUkS6x,95,16354812,Kanye West
4sG6J4S2FCuMr3oooYAwFS,4qOzMSukiZoiSjPQw8Zs7s,62,155867,Mansionair
3Yf5jxphlAhLOuqhO4UQA8,7F9FobwEoTXZRdi1MAUFjX,35,55411,Alex Gonzaga
6xoaW98w08I2NSFtcTHcHg,1QexdJFYGyxdBlEpDSy0d4,61,428683,Nane
2lyO6Ucj8QRiyJjHazFGnK,6zEaCvF0CqEHs7kFyBkLHi,68,195414,Mula B
57L3Tqt4tzMdnuu2lhduOi,0l8RtvcBMjeOqfgRSVo2d6,64,1878720,Grupo 5
4j3PzXEwTH128e4FUG0FN1,2gSIgsQWEHbWvOiFvhvx3g,63,33966,OMG
0bZFa5DZcx9HWx25m2Nd19,7n2wHs1TKAczGzO7Dd2rGr,89,36477810,Shawn Mendes
2yI3NNFLbKskIBpGuiANjV,23xqmJEN3oVxwzqtNIyR5m,68,1184126,AnnenMayKantereit
2rU33n6Fhd6G1MzYhUj6C5,1tqysapcCh1lWEAc9dIFpa,80,2538361,Jubin Nautiyal
5VQagemEOLpJJikcLzDNYR,687cZJR45JO7jhk1LHIbgq,74,379609,Tems
4138h4unKb8WMM4EgoZZGi,5LtHZB7vU02HtNoOzNcVhc,52,869222,Ramy Sabry
5MCOAQ3gNReN6bZqrg4ZV6,6YBgd2LKccEB3pX6UaW1Yp,60,1056123,Thegiornalisti
4YaKdKVcrM6Gf5ZALtp0gI,6m1LYS5NQonxjOcQFPQOb5,71,485205,Frenna
17TSJlshgQ5zu0e8dedAla,718COspgdWOnwOFpJHRZHS,83,6161853,Luke Combs
4HEzmqZuqVk3qSwD6Dtk6K,4PULA4EFzYTrxYvOVlwpiQ,72,6094930,Sidhu Moose Wala
5DtoXFQvulLjrMORIrJCp6,3pgCLfNbw5ozIfoNsvDU7i,71,1742471,Fedez
2X9vI5iOLeXmwrzdByCILC,4StKCngkSnvEqzfbijtykp,13,662,Rari Boys
2eiv9dR3AKgFNIH657dyBI,3ml6MvdCLzBBhK2zT9AhOl,48,4332,Micky Skeel
0QfulZ9NDsfbSg5x2i0E2Q,0Dvx6p8JDyzeOPGmaCIH1L,80,1445393,RAF Camora
7bQNJrKt0DWkFM0jGy6o6U,5gs4Sm2WQUkcGeikMcVHbh,72,615188,Hamza
22ONmP2pHRZKTngdAl25aj,3vvLuXEEf7sl3izJcw0GIn,73,2671124,Skryptonite
14VTLEOzviOKVGAkA9uT2g,2d7AMvzFwh5wUTuqQl3BAE,64,125320,KESI
69CSidCDozLeVRV2S8lAsX,0FWWBkIJD4tvlDzB4O8XT7,59,63024,Kempi
12wtoUYgAQQOxlQhhfLOVU,0YbOkhmDHy9h04XxbwB7ky,17,2053,Drew Allen
4O3HWR6j3Qht7ENIWlPLJt,2z20q6EEfm6w6PiIKsgtb3,68,1161178,FACE
5PvTvkZ5J6apShTfSMILmc,264pW5tKl5efgYUseJ24Or,2,65,Fókus hópurinn
2FV6EzOFuyjuXv9PtsRpb5,4WZGDpNwrC0vNQyl9QzF7d,77,4213321,Capital Bra
3oy8TYdypJxDMftcx0CSNT,0lzYw5xI9jgMg8O5i4bTre,60,97014,LouiVos
5ZnSvxkCMoSiUiuDGMaldC,4buk1Dwc5ynSnOGVeMJOON,58,491893,R Nait
5iJLphnVyGpLeAcsOZSfhw,2OIWxN9xUhgUHkeUCWCaNs,67,489492,Veronica Maggio
7Eso5mURNFprb5PmhOXDlf,0UWZUmn7sybxMCqrw9tGa7,78,3631961,Juanes
1ZyQEn0iceHj0Lbt6I6Op3,711MCceyCBcFnzjGY4Q7Un,85,22290622,AC/DC
1dvOmgZTsZKxZVvFTmDYqI,0JsMh2rFhun6RygkZyZqFo,0,0,Time Memrion
2ulbjHRHuQ4TdqF0rwgnGU,5Mhce2uj5bqBe6PKYolFO9,0,5796,Doris Schmeler
40YbWniIEmqy6s58fYXLUh,7dGJo4pcD2V6oG8kP0tJRR,94,52196728,Eminem
1kr5gjEkwvWzRvtnRdJkJY,1i3LAyYIXtdsYVUkIgIkjx,39,10076,Murta
3jvzWK02cFFse1SRxwNX5i,3XqH4FcUOrw2gw7L3BBaDn,54,82787,Arttu Wiskari
1dTlkJDp5xUEGSZgPAPPON,60UkyJpgRSEUtcVTasRFEq,53,129223,Kaija Koo
3CyCjgTHFzqucmECajq8QA,3ZZzT0naD25RhY2uZvIKkJ,70,1330701,EVERGLOW
3gyoM1fCFd3EA9v2XzdnUK,1lB3I3SI30v2ZOpR4XQqzJ,61,979398,Gambi
5FJisVCP9KtdZFb2XMGskL,2ZXlAIBIejTdK0VlfsAqMV,51,102770,Ypo
6h57ENjqcLzsxbPvX6dWoi,0rOFGXlFK59NmUCHga8oZM,46,40925,李千那
3YabBI5hlgOltrQ0VoFJed,21gbsnlPT5hyxKDKHsBtQj,53,17722,Stepz
56ZYY1cCJmQvcNZhUKhUBP,3KonOYiLsU53m4yT7gNotP,65,1301288,TREASURE
0dDboLfmRNsTBscy4j3Rnl,1i8SpTcr7yvPOmcqrbnVXY,91,31119922,Ozuna
6Jq89I45IO3GNlD3ulEgZf,2HPaUgqeutzr3jx5a9WyDV,81,3593496,PARTYNEXTDOOR
2ooF4088y5L72c4YTEJQoB,15UsOTVnJzReFVN1VCnxy4,92,34552932,XXXTENTACION
7Bn002jiyCXjbWxtgDJ7U3,3CJKkU0XuElRT1z8rEtIYg,79,1099120,Luciano
7uPSGQGfD1f8q04drqXiTb,5bWUlnPx9OYKsLiUJrhCA1,74,3920505,Jon Z
2qs0MAVLTxg9yOYSazeUBg,0WL3SAUxkhHXHI9Euz5Szs,32,19400,Famous Oberogo
7HuLU1p0GVmaDdaRUz7Xqt,1nzgtKYFckznkcVMR3Gg4z,75,2276802,KSI
4igJrnO72utkkJCUr56zFS,1UdbiTrv73Dp7F0s3OHmn2,68,398848,Light
4pS4Bk4BNR5W70948r5y8y,0lf8LVkrjg9GudchoppC5q,45,29487,Zayo
2fOlBMkWR7lXJfqp5VTbDG,4O15NlyKLIASxsJ0PrXPfz,91,12839470,Lil Uzi Vert
5YIMEJOJYmHaeZ0x4qAZjI,68dW5BU6sdVNf099EylxEt,69,177581,Hov1
36128t93igmSqGvnX6gOum,31KykqmaPRWmV8PMHgWdE3,60,423033,chillwagon
5rIjbX7rQMj8Gh9Oxd4Vrc,0eDvMgVFoNV3TpwtrVCoTj,89,9193952,Pop Smoke
6BgosXbHcabUucAZT8zPji,3sW41aChSc5bBow0Folc1S,62,279936,Sarius
2gpwseFWTwkHRrAivZTZ09,4XP7cGw4t8BqZ8Du5q3bHg,71,1464003,Emir Can İğrek
5B0kgjHULYJhAQkK5XsMoC,7wlFDEWiM5OoIAt8RSli8b,89,8233959,YoungBoy Never Broke Again
0gCB2MmImBVSDcoBIp3nKy,0HDMwoCS316xhKCZlJPBnc,69,379893,Sevn Alias
5YJKI4hyFaQqqT1HdgUL3b,18ISxWwWjV6rPLoVCXf1dz,70,702445,RIN
6SdfD2cFAVXkiBB2NKSABo,4LXBc13z5EWsc5N32bLxfH,77,2029070,Nekfeu
67M8Sg4R7bEidOf0cag0Ld,4Ui2kfOqGujY81UcPrb5KE,71,1150928,HAIM
38IKxr7sh1BiFEhR8TbmPH,2S6IpjPbMmKLJMhUJCIFMB,47,29758,Tsaki
2pmPEc4SBWSRgfjSBiV0yQ,6HTUcOExehqydqa7C3usAa,72,2965337,Abel Pintos
3oGUMQ4n2m6dP6qafNePth,6MQnUjIjnIOfHDFzqBJOAl,55,1510539,Assala Nasri
4gZD4q9gni74mpIvlG2tHz,0IxgA9wO4Op3CSnPlhfwV1,70,112418,Kevin
5aqene0IXar2rpHHsd6gtf,1silJqJQfrrZNFvWWjAyhh,68,779149,Tymek
4VPoDlvmMuV3ZSd5DPzMQI,4WZGDpNwrC0vNQyl9QzF7d,77,4213321,Capital Bra
