Entity,Code,Year,Population (historical estimates)
Antigua and Barbuda,ATG,1841,37000
North America,NA,2021,596581283
Iraq,IRQ,1935,4054808
Vatican,VAT,1815,905
Sint Maarten (Dutch part),SXM,2003,33195
Hungary,HUN,1919,7896688
Marshall Islands,MHL,2006,55765
Sri Lanka,LKA,1982,15501210
Comoros,COM,1846,59500
Turkey,TUR,1874,12105559
Anguilla,AIA,2011,13612
Malta,MLT,1814,134072
Belize,BLZ,1851,25905
Haiti,HTI,1838,845298
Ukraine,UKR,1926,29851348
North Macedonia,MKD,1911,888267
Malawi,MWI,1931,2176592
Central African Republic,CAF,1846,852456
Italy,ITA,1876,28742281
Belarus,BLR,1891,4519028
Sao Tome and Principe,STP,1848,27704
Bulgaria,BGR,2018,7051610
Palau,PLW,1911,6069
Iceland,ISL,1996,270144
Serbia,SRB,1947,6363371
Timor,TLS,1836,169413
Iran,IRN,1823,6648570
Niger,NER,1923,1707581
South Africa,ZAF,1828,1850595
Mayotte,MYT,1975,45480
Jordan,JOR,1888,264224
North America,NA,1870,61255842
Bhutan,BTN,1877,299029
Solomon Islands,SLB,1807,56998
Chad,TCD,1825,1599948
Denmark,DNK,1915,3061836
Lesotho,LSO,1924,422359
Nepal,NPL,1936,5395876
Sri Lanka,LKA,1801,1718222
Maldives,MDV,1885,59442
Papua New Guinea,PNG,1865,843511
Kyrgyzstan,KGZ,1989,4311856
Namibia,"NAM",1835,143598
Bosnia and Herzegovina,BIH,1885,1454707
Saint Kitts and Nevis,KNA,1893,48582
Belarus,BLR,1914,5585169
Paraguay,PRY,2015,6688746
Mozambique,MOZ,1907,4022443
Uruguay,URY,1971,2818283
Libya,LBY,1948,1066618
New Caledonia,NCL,1971,109823
Costa Rica,CRI,1970,1847394
Thailand,THA,1825,4754808
Bolivia,BOL,2005,9232301
Panama,PAN,2012,3770635
Afghanistan,AFG,1893,4645058
United States Virgin Islands,VIR,2010,106086
Georgia,GEO,1853,1449418
Laos,LAO,1978,3168838
Cuba,CUB,1934,4219558
Eswatini,SWZ,1868,79214
Zambia,ZMB,1864,1597354
Martinique,MTQ,1850,140190
Jamaica,JAM,1943,1275649
Vatican,VAT,1942,912
Nicaragua,NIC,1976,2894967
Kenya,KEN,1985,19877078
Finland,FIN,1932,3492777
New Zealand,NZL,1985,3268234
Zimbabwe,ZWE,1854,692768
Serbia,SRB,2011,8963761
Indonesia,IDN,1854,22805991
India,IND,1890,283791657
Mali,MLI,1931,3536247
Sierra Leone,SLE,1939,1688340
Eswatini,SWZ,1939,220550
Puerto Rico,PRI,1995,3567691
Mauritius,MUS,1924,387773
Bahrain,BHR,1863,64290
Ethiopia,ETH,1829,13718233
Cook Islands,COK,2010,18392
Slovenia,SVN,1874,755442
Bermuda,BMU,1989,61243
Comoros,COM,1894,80724
Guatemala,GTM,1993,9938699
Costa Rica,CRI,1883,207219
United Arab Emirates,ARE,1853,40074
Malta,MLT,1809,134072
Mongolia,MNG,2010,2719902
Egypt,EGY,1819,4151691
Guinea,GIN,2019,12771246
Togo,TGO,1980,2720835
Vietnam,VNM,1927,17617547
Kuwait,KWT,1903,100346
Andorra,AND,1935,5225
Lesotho,LSO,1807,276361
Tokelau,TKL,1996,1522
Rwanda,RWA,1871,1549012
Andorra,AND,1933,5115
Iran,IRN,1855,7739063
Ethiopia,ETH,1957,20764450
Vanuatu,VUT,1851,37581
Vatican,VAT,1952,883
Tunisia,TUN,1832,963323
Ghana,GHA,1920,3147731
Cuba,CUB,1946,5399536
Switzerland,CHE,1996,7038027
Nauru,NRU,1842,1869
United Arab Emirates,ARE,1895,45255
Laos,LAO,1813,470000
Liechtenstein,LIE,1865,8007
Montenegro,MNE,1943,408090
Uruguay,URY,1974,2824095
Taiwan,TWN,1902,2883315
Serbia,SRB,1865,1964559
Nauru,NRU,1966,6065
Slovakia,SVK,1929,3159269
Madagascar,MDG,2012,22346641
Honduras,HND,1856,367831
British Virgin Islands,VGB,1965,8836
Indonesia,IDN,2021,276361788
Myanmar,MMR,1919,11840482
Hungary,HUN,2001,10193451
Gambia,GMB,1944,273537
Myanmar,MMR,1920,11955367
Liberia,LBR,2018,4818976
Burundi,BDI,1872,1579718
Oman,OMN,1954,486315
Maldives,MDV,2019,530957
Gabon,GAB,2019,2172578
