position,title,artist,streams,region,date,id
104,Antimilitie,Parazitii,2176,Romania,2019-10-05,0B9AFbKjQvLy0xUFWwakNr
125,Felices los 4,Maluma,673849,Global,2018-02-11,0qYTZCo5Bwh1nsUFGZP3zn
29,Walk Me Home,P!nk,79659,Netherlands,2019-06-16,6jfEZdUJ2Yla6h7gTJgKuo
125,High On Life (feat. Bonn),Martin Garrix,6715,New Zealand,2018-09-03,4ut5G4rgB1ClpMTMfjoIuy
1,Hasta Que Dios Diga,"Anuel AA, Bad Bunny",467259,Spain,2020-06-05,06s3QtMJVXw1AJX3UfvZG1
15,Señorita,"Shawn Mendes, Camila Cabello",17808,Ecuador,2019-08-15,6v3KW9xbzN5yKLt9YKDYA2
82,Feel It Still,Portugal. The Man,2136,Hungary,2018-08-06,6QgjcU0zLnzq5OrUoSZ3OK
11,Don't Start Now,Dua Lipa,68946,Norway,2020-01-25,6WrI0LAC5M1Rw2MnX2ZvEg
47,my future,Billie Eilish,22373,Denmark,2020-08-10,2ygvZOXrIeVL4xZmAWJT2C
72,Santa Claus Is Coming to Town,Michael Bublé,2038,Iceland,2018-12-07,5Ber68jZ7ytegr2UISEdb7
140,Rockin' Around The Christmas Tree,Brenda Lee,50664,Spain,2020-12-12,2EjXfH91m7f8HiJN1yQg97
8,Piece Of Your Heart,"MEDUZA, Goodboys",3688,Lithuania,2019-07-01,1DFD5Fotzgn6yYXkYsKiGs
136,Lovesick Girls,BLACKPINK,33811,Argentina,2020-10-09,4Ws314Ylb27BVsvlZOy30C
78,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,2836,Bolivia,2019-11-23,1j6xOGusnyXq3l6IryKF3G
103,Mine,Bazzi,73719,Germany,2018-05-04,7uzmGiiJyRfuViKKK3lVmR
145,LALIGERA,Lali,2263,Uruguay,2019-10-22,1ThWuqpphgu4N5yi5FbBiR
5,Todo De Ti,Rauw Alejandro,14200,El Salvador,2021-09-19,5RwV8BvLfX5injfqYodke9
173,Psycho (feat. Ty Dolla $ign),Post Malone,81018,Brazil,2019-04-12,3swc6WTsr7rl9DqQKQA55C
193,DNA,BTS,46245,Brazil,2017-11-28,5SE57ljOIUJ1ybL9U6CuBH
75,Olha a Explosão,MC Kevinho,8793,Colombia,2017-08-08,6m2LNopVJKsvBB9l7Z1rwn
1,Bairro,Wet Bed Gang,38436,Portugal,2019-05-15,1ai9FDnFQDv18WAtFhMTIz
151,Zijeme len raz,Ego,4982,Czech Republic,2021-03-25,0STHJtR9k80lQprMIxAasD
89,La Difícil,Bad Bunny,5214,Costa Rica,2020-11-01,6NfrH0ANGmgBXyxgV2PeXt
34,My Bad,Khalid,4572,Hungary,2019-03-21,1DUSuNhF8P5vUGNPpQiZa5
1,Easy On Me,Adele,284159,Indonesia,2021-12-28,46IZ0fSY2mpAiktS3KOqds
14,My Boo,Shota Shimizu,10156,Japan,2017-10-03,2gasr6aemUqZIBBN05EO03
144,I.F.L.Y.,Bazzi,7900,Thailand,2020-06-02,4a6q8CR2hzLk2plDkSxkfD
103,Wolves,"Selena Gomez, Marshmello",2944,Viet Nam,2019-08-26,0tBbt8CrmxbjRP0pueQkyU
159,GREECE (feat. Drake),DJ Khaled,6159,Switzerland,2021-04-27,35RJhm1pEovTBwnNR0zWad
165,Kadr,"Qry, ZetHa, Szpaku, Czarny HIFI",17904,Poland,2020-07-02,5LQrEPA2LqcPZNOn4UJJuV
196,Déjame Ser,Manuel Carrasco,31986,Spain,2019-07-25,3cJGFgemiI7gROm7AzRAiR
192,BOP,DaBaby,1607,Romania,2019-11-02,6Ozh9Ok6h4Oi1wUSLtBseN
11,Let You Down,NF,8954,Hong Kong,2017-11-18,6mrKP2jyIQmM0rw6fQryjr
1,Without You,高爾宣 OSN,38581,Taiwan,2020-01-01,0KWnRv3wxjltYVB3MqjNd2
8,Chama Ela (feat. Pedro Sampaio),Lexa,438840,Brazil,2019-12-01,14kRWkCWBYfQqILflEcpSJ
99,TÄN KAA (feat. BIZI),Cledos,8961,Finland,2020-03-03,2grPzYoVE4j93M7JzZqHSp
99,Bad Things (with Camila Cabello),Machine Gun Kelly,1096,Panama,2017-02-12,1PSBzsahR2AKwLJgx8ehBj
99,Paris,The Chainsmokers,6331,Colombia,2017-06-12,72jbDTw1piOOj770jWNeaG
21,Easy On Me,Adele,7600,Dominican Republic,2021-10-29,0gplL1WMoJ6iYaPgMCL0gX
65,Si Veo a Tu Mamá,Bad Bunny,4402,El Salvador,2021-08-16,41wtwzCZkXwpnakmwJ239F
100,Issues,Julia Michaels,14841,Norway,2018-02-24,7vu0JkJh0ldukEYbTVcqd0
51,MIA (feat. Drake),Bad Bunny,3808,Bolivia,2019-06-01,116H0KvKr2Zl4RPuVBruDO
103,Mood Swings (feat. Lil Tjay),Pop Smoke,104080,Germany,2020-11-13,5rZlwNFl01HqLWBQGryKSm
23,พัทยา (Pattaya),MEYOU,29284,Thailand,2021-10-02,6VmtHYkk81yli04paFVxqJ
191,Lucid Dreams,Juice WRLD,1816,Ukraine,2020-11-25,285pBltuF7vW8TeWk8hdRR
11,Hola,Boza,8990,Panama,2020-08-03,4n98DgeQFXDsz15Wi6uT70
87,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,44550,Netherlands,2021-12-21,6s2wpWPFPAgKg2LXxi1Oee
114,Always Remember Us This Way,Lady Gaga,85274,Brazil,2019-04-01,2rbDhOo9Fh61Bbu23T2qCk
40,comethru,Jeremy Zucker,7039,Viet Nam,2020-02-04,18uwL0vNUanqZH0ro2QcOP
84,Di Makatulog,SUD,34159,Philippines,2018-12-26,2ZiNCGDMapQzMtnPRVOKZI
104,Plain Jane,A$AP Ferg,7876,New Zealand,2018-05-08,4dVpf9jZjcORqGTLUaeYj9
183,Brown Eyed Girl,Van Morrison,30993,Australia,2019-09-14,3yrSvpt2l1xhsV9Em88Pul
