region,id,top_position
Chile,4Zbx65nGu6woGnJOqBHw50,70
United Arab Emirates,7eResoqEJJAVTkQYSqvO3P,112
Romania,161DnLWsx1i3u1JT05lzqU,113
Thailand,0pYacDCZuRhcrwGUA5nTBe,1
India,0OcVZqIer0LLu3K8sdU5Yb,26
Finland,0gplL1WMoJ6iYaPgMCL0gX,1
Ireland,2XTquzYQAdT1Hk78bOUwsv,11
Global,7qEUFOVcxRI19tbT68JcYK,44
Sweden,3kGfazcbVvVkuZunzlLgTD,61
United Kingdom,0XvOoNb9zZOwFIOM0mwbiq,122
El Salvador,2AIWoHr9DF6y4KALCBKWQS,48
Paraguay,1WOJTQfNUEkLlsinPP95VM,46
Israel,3WycPtgIy3SjAqiN3VDLmf,64
Bulgaria,3XoflnowYPFRPOh3uFvHcm,38
Canada,2XTquzYQAdT1Hk78bOUwsv,3
Romania,6uvng3WdeJddJ81bxfydBX,158
Turkey,6t0vShk1cTKetW9uXpcgyw,85
Uruguay,4h7RYyJA1jVaURg3JO7T2y,26
Germany,7sQbCBojrgRh2V6mKqVm12,18
Israel,08hm0V6cTsWDX62hW42sEv,112
Ecuador,4Gs0CmLGqRi5bpYzlrIsLT,102
Switzerland,1kK6DwzyXJSp58u5HYWwuD,19
Hungary,3M9Apu4OZfylLTFKvgEtKa,23
Paraguay,6lD1kt2GRIVlA0ziqrA7bF,92
Germany,1Y2xhmffUWAMHdbtJAoo8p,96
Denmark,0qkA0NU7cDKWkFXNGRcNaB,160
Switzerland,6Nm0PIjQHqW8OxQlNB2ze9,96
Turkey,5VnDkUNyX6u5Sk0yZiP8XB,44
Morocco,1hAwxGDmy4cSkI6qOTsRfA,51
New Zealand,41L3O37CECZt3N7ziG2z7l,1
Luxembourg,0fukO3WYYUHaXOrvEohpEG,3
United Arab Emirates,6uFn47ACjqYkc0jADwEdj1,63
Mexico,5WvAo7DNuPRmk4APhdPzi8,53
Nicaragua,0RiRZpuVRbi7oqRdSMwhQY,77
Chile,6ZuahEctZD6w75peme58hm,151
Italy,3eBmU9e3zQHI8mId813grc,89
Russian Federation,3p6hnejEQYXkiTO1lAzVc0,156
Chile,0b93tWwuoAC0nXe1CfR30I,77
Hong Kong,36myXd7iOvlpoecKzCTHZj,142
Latvia,2kaNmAbqrtOf7Rdr3fnCWl,30
Saudi Arabia,39n67cXyRAQkZPoF5LF91N,100
Greece,7DsX5K72fewVGb47qj7Tbg,28
Hungary,2QvOgGXmCXaQhNHfxx92H0,133
Ukraine,5vPCbpjohICtsAKHR1hSvs,127
Uruguay,29iIRrSuANyjnwag69PHOJ,191
Guatemala,79cuOz3SPQTuFrp8WgftAu,45
United Kingdom,5Z6DLYbekZkL8OvH54S4n0,116
Thailand,0wk4GYAryLcXEMvfhzU1bv,76
Ukraine,02ZNcMtFpToVAlirwhNxS0,87
Bulgaria,21jGcNKet2qwijlDFuPiPb,6
Malaysia,6Ozh9Ok6h4Oi1wUSLtBseN,119
Latvia,0yhNApb5f23UkttdQekW3P,106
Greece,5pcjystBtalYeqaiXCcgEY,194
Panama,6ju3FaV3aVLzGzwERKZuFK,81
Belgium,0XzLCD3Gnk7G6U72PnOWfr,15
Norway,7nsInBN2lVnb7LkbRz5VuP,168
New Zealand,7dbka99KTWke5o9hRp0JoB,1
Norway,5A1w94uzc1kO1Zhe8WWxC3,128
South Africa,0G9vbgmLrDqjV4NUCSrsIg,160
Germany,5qsZsF5d8rzzdYl2UkEZUz,149
Latvia,5O1Y35vDQQjCXTFo8BEBrr,71
Hong Kong,1emGlqRR1K8Zq0p79wQ19g,81
Canada,4ZT9FnbFu1PaBfV3itxiqT,27
Mexico,167NczpNbRF7oWakJaY3Hh,69
Peru,0JiVRyTJcJnmlwCZ854K4p,85
Germany,6OocN63GLU7NF0wHdewhID,100
Portugal,4iYRa2btalAzPZoSYfROqF,14
New Zealand,110lWlsa8fJXgrrwGgg0f1,163
Ireland,34gM5PULxWtqbplXUwbAo8,65
El Salvador,4Hf7WnR761jpxPr5D46Bcd,24
Costa Rica,2G1tXoGBaEMJ7FKGnkf6ud,76
Netherlands,2dOTkLZFbpNXrhc24CnTFd,131
Saudi Arabia,5XbA7TAqsD0fj0dGBrbb0D,25
Russian Federation,6YdFDx6pbPRN1z65i4BYwM,9
Morocco,4v7Bsz1UBPJRIYq5mxCaGj,15
Ireland,1XyL3J7eTTKnxRZAM3LqIT,129
Bulgaria,2IRZnDFmlqMuOrYOLnZZyc,8
Portugal,4n6NDfYake476trCjJRNl0,13
France,5ZU4NxNn0D8N2zabIEhrU5,102
Latvia,4nYsmWkuTaowTMy4gskmBw,9
Sweden,78OwlJgh2GwxAiFSYppEz7,149
Norway,6lOWoTqVnAWXchddtTH31W,158
El Salvador,55hFxemENUqRGtA48NzZ8l,54
Canada,5bvnqVuq7UFl0txSlHpsfS,1
Global,3FUXVbi9ugVUqJ3rPrfd2G,108
Germany,5q9stUg2W38X9PyzgIOdhH,105
Bulgaria,60a0Rd6pjrkxjPbaKzXjfq,1
Lithuania,0oufSLnKQDoBFX5mgkDCgR,85
Dominican Republic,2iCOdoyDmWG3hWkbtH1KB2,9
Paraguay,4LEK9rD7TWIG4FCL1s27XC,66
Colombia,2TjbRrEmVMRsGT1jn84oat,159
Malaysia,6kwSXeSfNMwMVZXf81l9K5,61
Panama,6WbADFqMvR8N5u0BvtsWQE,49
Poland,4mnjwMLCk3JZkhkok3u5g1,85
France,0WdR2AyLW1Drd3OUdwezM0,91
Hungary,0n2nEtLP3OzDdi12ziIekx,6
Austria,6dVZCbi9CYtD9LjAHXRjIG,182
Austria,3eFJqPe8VUYrABbFjSauuj,52
Latvia,2J0X46UkpfLlWbuCXFgDLr,95
Australia,1QwhWld3yDy65MJCeBelCp,43
Bolivia,5cF0dROlMOK5uNZtivgu50,106
Australia,24nRdDUUIdM2mv1YdwMdu6,193
Indonesia,1pKeFVVUOPjFsOABub0OaV,193
Morocco,6j6KUUyDtjvBz4mkApf9hl,102
Singapore,1lOe9qE0vR9zwWQAOk6CoO,84
Costa Rica,66FgjA5ZQJJuypFG1bc8se,159
Romania,0a99Lbe9m8Im2mRa8LcRzm,189
Norway,7jkrRIkeZaW87c54Q2uwhg,58
Singapore,6IaieqiCVvsNvEt6Y7yOFa,105
Estonia,0JM8LI4HxrQs2Reqr2naYo,81
Norway,6SAKXCj5jyF6IgPCPbZ5ra,43
Global,1BYZxKSf0aTxp8ZFoeyM3d,131
Portugal,1wsnCfewxZlCs7cJxkaMZM,73
Poland,5pI3P6px16ml5Sd5hPNiUV,97
Netherlands,6pVW5LRWgeLaHudxauOTJU,22
Bulgaria,0zLCBJZSiELJf02ucPP9wb,13
Dominican Republic,7BoobGhD4x5K96Me0hqC8Q,101
Switzerland,3AVC5l5wCEALuj4tg02uIL,33
Slovakia,6WBTeFDEfAJbaSUUc1V1xQ,36
Israel,0EwS8XJQspgrj1zSUXhFkl,166
Belgium,2wQjy7eamu1hIS6kvigogB,30
Hungary,5OdoKFV4DqciztFZG8WEcm,12
Sweden,1GtVGc1UYin3zpMUdNSSpM,87
Dominican Republic,4n4BflhWjCHIxrI4v7Xt9s,178
Netherlands,7IZcnXv6Vg5NjD0AHhiEvI,64
Netherlands,3cysp2UU6xmV61ZlnQsa8s,151
Switzerland,6tr2orFqhbtreN3eehaBjc,99
Germany,3t9N47rwefuS52lSN8wAKy,78
Brazil,1mWdTewIgB3gtBM3TOSFhB,59
