region,id,min_date,max_date,n_days
Germany,2qRN7PWiHRLprw4FpDeI9N,2019-07-12,2019-07-17,6
United Kingdom,39kzWAiVPpycdMpr745oPj,2020-10-02,2020-10-02,1
Ecuador,41kUYP9CDsDgfjyI8jXMSs,2019-11-30,2020-01-01,13
Netherlands,6z2duckYzgJSOeC7DMGMDO,2019-11-07,2019-11-25,17
Malaysia,5VwwpU7KsLhgfbMEecedhJ,2020-02-14,2020-02-20,7
Belgium,2SUxn2O9NHL6GHGQFgwCY0,2021-10-29,2021-11-04,7
Sweden,58T4yPLn4NjBYXfRxeweyM,2021-07-16,2021-07-26,9
Panama,0QsvXIfqM0zZoerQfsI9lm,2017-01-01,2018-01-01,156
Honduras,4LIbjDbLweGCrHVw8QbMSb,2019-09-06,2019-09-06,1
Ecuador,2n7ohqg1s68ToAHh4u9mcW,2020-02-29,2022-02-11,714
Hungary,20rAsi0BCATtA4XQQLo7Zi,2020-03-24,2022-02-01,62
Finland,3AsFqZWRuV9saGcaEXHiLg,2019-10-25,2019-10-30,6
Austria,4gZOWIMzQnn8H2ENrs7UsW,2017-06-05,2017-09-04,63
Finland,3WATWS2Ywo5HeHtG0bE2iZ,2020-10-30,2020-11-03,3
Indonesia,5Ncjypx5upZS5ZZTaqUzIf,2020-05-22,2020-05-23,2
Belgium,5w3r6vFKgkji8kpWgW47og,2019-06-21,2019-06-27,7
Spain,0dDboLfmRNsTBscy4j3Rnl,2019-11-29,2020-03-19,112
Estonia,1sXUWdKx03aP9Gmzft58rt,2017-01-24,2017-06-04,126
Ireland,22AfHqgMer38xMT3s1j861,2018-07-06,2018-07-09,3
Saudi Arabia,4nNh21sFa9Rdo055vLe6Fq,2020-05-22,2020-05-23,2
Canada,391CwgcBxvUHmEKda2b5In,2022-01-21,2022-01-22,2
Thailand,1GcLstNhtKD1c60tPGxYcH,2021-04-28,2021-08-15,110
Netherlands,4b1yxSdlumA8N4fEk4UOZp,2022-01-19,2022-02-11,19
Switzerland,3RyEm3E4HOrqU9J7j46oIA,2018-03-30,2018-04-09,10
Global,7JDWhC422Gtk1Bq0mL3OTC,2020-08-25,2020-10-01,37
France,6sG00oroR1oYJiPwRxZkA5,2018-12-07,2019-01-31,55
Colombia,3yvlcIteooc31cPjyWPTw1,2017-10-07,2017-10-08,2
Netherlands,6Vfo6O3hk38vDcSpazNo3p,2021-05-23,2021-06-01,8
Greece,1JkrD47SDpAbyvqKtolcea,2019-02-25,2019-03-21,25
Peru,5P45f6HakSHDwdFj5dO5K5,2017-07-10,2017-11-30,144
United Kingdom,66kQ7wr4d2LwwSjr7HXcyr,2018-01-05,2018-01-14,10
Latvia,4dFtIGQBrYjiskk7fN5Wmx,2019-12-23,2020-12-24,4
Norway,5eb3MS3BW4oLFwtUG80WoE,2019-05-31,2019-06-04,5
Brazil,6SRsiMl7w1USE4mFqrOhHC,2021-05-21,2021-07-19,52
Sweden,64ew4YySHotjsaK84vgALz,2017-03-03,2017-03-03,1
Japan,2lDWYLNnfYyXngjz4plpy2,2017-02-25,2017-03-21,23
United States,0JjM9bKm4wrwohMslcm892,2020-02-07,2020-04-30,59
Switzerland,5r9PgwN9hQkjvoKhwmw2mM,2021-06-18,2021-06-21,3
Slovakia,5YZWH2SvOw5dHMok1WmDAZ,2020-04-03,2020-04-07,5
South Africa,6fLVTVaHWaEfVKfEgbkf4D,2020-05-01,2020-05-12,12
Finland,5MrUeMnwotFhQCLlb2qEZK,2020-12-23,2021-12-25,11
Global,728zbo72kOoYdGR3AhNsyF,2017-01-06,2017-01-19,8
Malaysia,5kXCVnfbxfq5nKjAVvj3no,2017-09-22,2017-09-22,1
Australia,7F5oktn5YOsR9eR5YsFtqb,2017-12-04,2017-12-04,1
Thailand,7ql71hBakyMi0Lxiq3Mugs,2019-04-09,2019-05-01,23
Austria,3RemJXZIjDSGQ9uuGyxbcL,2020-10-09,2020-10-09,1
Netherlands,3YuI4nBAhbbLiJsDxwjhnT,2018-11-09,2018-11-09,1
Netherlands,4gzOM98QcOiaMgKO6F4ki9,2020-12-18,2020-12-22,5
Switzerland,2xmrfQpmS2iJExTlklLoAL,2017-10-27,2018-06-26,238
Israel,2QoOyCFpDo4NblMLP7vBRT,2018-06-29,2018-07-04,6
United States,2rFTRICumonxxZKxxfEu8R,2021-06-18,2021-06-19,2
Mexico,3NkJNL3WqO1Lqc3uNDxvCN,2019-09-13,2019-10-09,27
Lithuania,77B4S4jkrAkL3Ng5hEHoUU,2022-01-27,2022-02-11,12
United Arab Emirates,5DqdesEfbRyOlSS3Tf6c29,2019-11-08,2021-08-16,589
Peru,6SdlwHgDMQ0f2UAbG5nM0a,2017-05-01,2017-05-11,11
United Kingdom,2SxR5RitJdsG6wINvJLBSD,2020-07-03,2020-07-08,6
Austria,2QmP9Bx2oZEUQkAOnN8ay6,2020-09-18,2020-09-24,7
Germany,15W80Swo6DecIiAP7CQgm4,2020-03-20,2020-04-09,20
Colombia,5mMRgTxoeBjEAZdBjPGvaC,2017-01-13,2017-02-03,4
Spain,71pEiUWwfDFiRO6RmFpnBf,2019-06-28,2019-10-12,102
Sweden,6H7fWtwEUHVfTyZD7zeG4w,2019-06-14,2019-06-24,8
Hungary,7z4xW9WY86uH3gd1V9pfCM,2021-06-25,2021-06-28,4
Romania,23OXdR7YuUBVWh5hSnYJau,2018-10-05,2019-12-03,56
Brazil,4EoMHVpNZTLVfAIgYzfufZ,2019-06-14,2019-06-14,1
Bulgaria,6FZlvKQe2wMGBo3QUYauch,2020-12-24,2020-12-24,1
Canada,4h90qkbnW1Qq6pBhoPvwko,2017-01-01,2017-03-18,76
Dominican Republic,7JJnUXUc1cTha2iq217dIJ,2017-07-29,2017-12-17,142
Slovakia,3WefHNGtjexZvi66ZEx9u4,2018-11-16,2018-12-12,20
Netherlands,2cnKST6T9qUo2i907lm8zX,2021-05-14,2021-05-28,15
Denmark,5dcDYqxFDOAc4Mq0uGdeCG,2019-01-01,2019-02-13,43
Panama,1gng5xQBiYCVDkHS0IKLyk,2018-07-12,2018-07-15,4
Malaysia,4MaEMiH9lXR0NAcsrgJcuO,2021-01-19,2021-04-08,76
Austria,12cQ67l8fKsj1axnaN9j6z,2019-08-30,2019-09-01,3
Colombia,1nocRtwyNPVtGcIJqfgdzZ,2019-08-09,2020-04-16,252
Norway,1Fo4OvzP9PThFKMeMIAEYu,2018-08-31,2019-02-03,3
Spain,2LsbizbOeNa4x6qsi2jAMb,2018-04-14,2021-09-12,217
El Salvador,2uhMYJq2TODWBuZhHRrdWy,2019-10-18,2020-03-17,133
Sweden,7faDzZnZYqTyYThx2sbHVQ,2017-12-23,2021-12-24,16
United Arab Emirates,4QSehYD2iCp1L3l4B3QNv0,2021-06-11,2021-06-11,1
Slovakia,0he33VNYXLd8JXLAv22WeX,2018-10-18,2018-10-25,7
Germany,67j00d0EkhOJ5G4g2o8yr3,2021-03-12,2021-03-25,14
Finland,3VsTpdea6RXkvbwLBjiCB9,2020-09-18,2022-02-11,485
Nicaragua,5cBrOhKDyiJF9bPGUHKkG0,2020-07-10,2021-04-17,266
Iceland,7lQWRAjyhTpCWFC0jmclT4,2021-09-03,2021-09-17,5
Costa Rica,1uFl33ahAD59XrccuSxpkz,2018-10-26,2018-11-16,21
Netherlands,3oh6SCCeLuXhFpEyepla6G,2019-02-04,2019-04-08,61
United States,3j84U36KvLeXNDPv4t5pI8,2019-06-28,2020-02-27,235
Austria,0syVTyo71ordJjSd8cuElB,2022-01-07,2022-01-07,1
Czech Republic,1gaK2od5J8GX6KecOaWm4d,2017-08-04,2017-08-04,1
Iceland,2YXeugePUvTyhgrkZG8cfV,2019-08-30,2019-09-01,3
Dominican Republic,2FK1agZzZzTyxV2CD7ixcP,2019-11-29,2020-02-14,16
Taiwan,2DZLyqxPBCziw1YJOWPCjQ,2021-12-13,2021-12-19,7
Ireland,0tICYNayWWhH9GPeFrfjfD,2017-01-01,2018-01-05,237
Hong Kong,2nJDePK69THatYkjkjQFE8,2017-01-03,2017-02-11,34
Norway,6IAZHEBUIGJ6NJKxxOBIEr,2021-08-29,2022-01-02,59
Indonesia,3VC1IEz9M1txlMSx3h3tPM,2017-07-22,2017-08-08,18
Australia,4axYWgXASdsCBHuwInAubT,2018-12-07,2018-12-14,8
Thailand,7qnO1KbAGjzEy22mC3HXua,2019-07-19,2019-12-29,89
Brazil,1crSsvtU9wZB15dIQXV2QH,2017-01-20,2017-01-21,2
Ukraine,4PS1e8f2LvuTFgUs1Cn3ON,2020-12-21,2021-12-31,5
Netherlands,7xVssMegpAxQ8GuFa84V31,2019-01-18,2019-01-21,3
Finland,7lgA34nFXxjqQgyLkPUcLv,2018-01-13,2022-02-11,553
United States,18asYwWugKjjsihZ0YvRxO,2021-11-05,2022-02-11,33
Norway,2eZa3hJ7ClZ2c9EUq4Ikwz,2020-08-08,2020-08-29,22
Czech Republic,28cnXtME493VX9NOw9cIUh,2017-03-09,2017-03-09,1
Sweden,2VoJe7vkKkigs7C3CGnSXL,2017-08-11,2017-08-17,7
Latvia,5GXAXm5YOmYT0kL5jHvYBt,2017-01-01,2017-03-31,88
Taiwan,0JB2nnrP35zVYnQcYpAnCb,2018-10-29,2018-10-31,3
Germany,1NbGcdgwRHZ5rbPIT9hdR3,2018-06-15,2018-06-15,1
Finland,0mxgA7WWMZT4PGC2BHuRug,2020-11-14,2020-12-01,18
France,7dwnNn1mjiZJx7gClyEs6E,2017-09-22,2017-11-14,21
Slovakia,6CUP2khYzdphXebxVTfPE3,2020-03-06,2020-03-10,5
Lithuania,4eqrNsKy9Mvg1fvfsTVIAE,2019-06-14,2019-06-14,1
Estonia,1XjHRolIXL2M1EEOUsGGR4,2020-12-11,2020-12-11,1
Australia,2iUmqdfGZcHIhS3b9E9EWq,2021-07-18,2021-09-27,21
Honduras,6RbH4isVKIOg1OY1HvRqFc,2020-02-07,2020-02-28,22
Mexico,66veRqqrxhfa1Q9088RmPS,2022-01-28,2022-01-31,4
Hungary,29Dvkvp7Wgd1VJdDvVJlvf,2020-02-28,2020-02-28,1
Argentina,6wos8Ds5FKMe33GjBHRake,2018-01-30,2018-05-17,108
Taiwan,766Cl6GopVYQzw10z11FGI,2017-11-07,2017-12-04,4
Germany,1DGnBZVutWD4OrYTaJROP3,2022-02-04,2022-02-11,8
Austria,3GOjD8hwXOxbTF3apTqSqX,2017-12-15,2017-12-15,1
Sweden,65OXGbKBQ8gUyJvUd0jNpf,2017-12-31,2018-12-31,2
Sweden,5qmR4IEKBUpgPa14pGuWuS,2017-11-10,2017-11-10,1
Germany,6kls8cSlUyHW2BUOkDJIZE,2019-06-28,2020-01-26,184
Taiwan,1KvyBpAxgllKW7bQb0GYCR,2017-07-21,2017-07-26,6
Romania,0qbfdprRS71e9up5pOmbQo,2018-10-05,2018-10-05,1
Bolivia,33VNLJpKEeCfSnHMq8ZX8o,2017-11-14,2017-11-17,2
Ecuador,7h9sdbDEBfkWSmO4mzGED6,2017-11-10,2018-03-08,100
Costa Rica,3rdAz1fbUfZxYgaCviYhRo,2021-12-20,2022-02-11,54
Luxembourg,0HYlVsZx8pLI2YoECmUQAd,2021-12-24,2021-12-24,1
Indonesia,2EcwTF3Qj2AuyK2YWUKIBT,2021-06-01,2021-06-01,1
United Kingdom,5SehvGGC53A7SZKCLXQcyt,2018-10-05,2018-10-09,5
Ireland,6XAdcAseYtijN0QUnQFsH2,2018-12-24,2018-12-25,2
El Salvador,19WjVVgXjdKXfLXoaDPwTM,2017-09-03,2017-09-26,13
Thailand,2hr3geQBSViX9Oi2OsnY3c,2021-05-10,2021-06-29,10
United Kingdom,2hnxrRNzF74mdDzpQZQukQ,2018-09-28,2018-11-14,35
Saudi Arabia,4HvE2E9rXJDcQhE4YfeNuG,2020-10-16,2020-10-16,1
Poland,7r2fSbB03YOld4oVQzUpwV,2021-10-15,2021-10-19,5
Luxembourg,326YJamh2CKMWGH0EbQXM2,2021-07-02,2021-07-02,1
Sweden,1p7939nftudJfauI7fpa04,2022-01-07,2022-01-18,10
Switzerland,0yt31hMKZMiyIEfiBiLD2N,2018-07-03,2018-07-25,19
Sweden,0Hi1VOMriBzaCRarkRBDso,2021-12-17,2021-12-17,1
Singapore,6aHCXTCkPiB4zgXKpB7BHS,2018-08-24,2018-08-31,8
Denmark,5JPpRCB1m5Puo3KyVzoICw,2018-03-30,2018-03-30,1
Estonia,31qCy5ZaophVA81wtlwLc4,2021-01-01,2021-03-18,68
Romania,7sc8ZK6Tps0LwN8wnnMfq5,2020-10-18,2020-10-19,2
Canada,4YMQXzscifAREG0a7KNGhB,2020-10-31,2021-10-31,2
Philippines,0AY4qmK5YRpqSpGsnjskDK,2021-09-17,2021-09-17,1
Italy,0k2D6fPnHMBB2K2ngWlN0P,2018-03-23,2018-03-26,4
United States,2VIPU72L6tIR4w8J8ap6Kp,2018-07-17,2018-08-20,13
Bulgaria,6vBdBCoOhKHiYDDOcorfNo,2019-07-05,2019-10-31,80
Greece,0XOnMqLQDO89iAg7dWWwnG,2018-08-17,2018-09-06,21
Switzerland,4bMLBGnjAGVFpjAfIkD0UY,2021-05-14,2021-05-19,6
Bulgaria,01DOm09B2AbiTARAbXVI6g,2019-04-12,2019-04-15,2
United Kingdom,0HMjXBAZmSYOTTi33WpMso,2018-01-11,2020-07-24,4
Panama,6yVkakCN460KOVol9ZazjH,2020-05-29,2021-02-04,252
Belgium,3LewMbGqmR4IYtifSNxbGz,2017-05-22,2017-05-25,4
France,1ZKdjffRB9iwbKrUXVXl05,2017-01-02,2017-01-12,11
Costa Rica,65Q2mv3UlVi9eO70OpsmSe,2018-12-25,2019-12-25,2
Greece,5OPQQfeFTdMJIxPdFcUDGq,2021-11-18,2021-12-02,15
Chile,2AIWoHr9DF6y4KALCBKWQS,2018-08-24,2018-09-03,10
Taiwan,5qEsQiKndh4h3d16LiZs5x,2019-02-15,2019-02-15,1
Switzerland,0fBxgiQe76HZFFqN2FUUpw,2017-04-28,2017-05-18,21
Romania,6Q36XucqrejMId3RydVhch,2018-10-12,2018-10-16,5
Ireland,0CcQNd8CINkwQfe1RDtGV6,2017-02-03,2018-02-21,332
Germany,1rciHe0jRJnF3J6CuAwOH0,2019-02-08,2019-07-07,117
Taiwan,1WU93pZQ3WBHNPZj4zHby8,2018-02-23,2018-02-23,1
Netherlands,5Z3GHaZ6ec9bsiI5BenrbY,2017-08-15,2018-02-08,164
Bolivia,1Zz7lQOhWPYh8dNQCwVkdG,2018-10-09,2018-10-15,6
Global,1mrGEef8GuaEnDdw8J5BQp,2021-11-04,2021-11-13,11
Finland,7zGEU6BXl2c4TxpzIAr7BI,2019-06-07,2019-06-10,4
Latvia,7HFgnF1oPMzkCqEMBOA2yI,2018-11-16,2018-11-16,1
Malaysia,59PYPDxTbqJpiGfyogPb5h,2019-09-06,2019-09-15,10
Taiwan,5277WfcaQwOwnc26XuzoOu,2017-01-19,2017-01-19,1
Romania,3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,2020-01-04,260
Australia,3RdOimLk6CxkaYMYtGTCB9,2021-10-22,2021-11-08,16
Argentina,2mM3gZ0BbPwPPMelbA8vgt,2021-01-04,2021-08-06,215
Japan,1L3NV7VrCiuE8C5QlhdeQL,2018-01-05,2018-01-21,15
Brazil,5TY4l2xPjXDcRhG1cmZDK7,2017-11-17,2018-02-16,30
Israel,3pHkh7d0lzM2AldUtz2x37,2019-08-23,2019-08-23,1
Chile,2Gl0FzuLxflY6nPifJp5Dr,2017-04-28,2017-08-10,100
Czech Republic,0cqRj7pUJDkTCEsJkx8snD,2017-06-10,2017-11-20,20
Thailand,6RBfz4bNLNzvt37HycN1Xf,2021-10-26,2021-10-27,2
Philippines,7vRriwrloYVaoAe3a9wJHe,2017-01-01,2017-06-07,153
Germany,2L7szV9E9DiJoNUfPTnPwJ,2019-09-27,2019-10-02,6
Poland,3NeIwsVhBORV40Menc9Yue,2018-02-26,2018-03-09,12
Latvia,2rPHUAeUPbNgTmK18FPTiZ,2020-07-24,2020-08-13,15
Viet Nam,23L5CiUhw2jV1OIMwthR3S,2019-03-03,2019-06-20,20
Guatemala,5SehvGGC53A7SZKCLXQcyt,2018-10-05,2018-10-08,4
Honduras,3Vi5XqYrmQgOYBajMWSvCi,2021-07-19,2022-02-11,207
Norway,2G7V7zsVDxg1yRsu7Ew9RJ,2018-07-20,2019-02-02,175
Greece,11cDEev79fPKi6uJCjUhu8,2019-02-08,2019-04-08,60
Paraguay,1FIgFc6wUm2BQ1yrdFuUcs,2019-04-19,2019-06-03,33
El Salvador,1WbXIpiGBJkCiv3hn40iPB,2018-02-16,2021-08-03,303
Norway,69ZE8soeVDqFUyPEW5gZHs,2018-05-04,2018-05-04,1
Bolivia,0f3xJAABT92dcSH4t6oDZ0,2020-08-07,2020-08-07,1
Switzerland,48ghUr9q4ZCKTGEGzdZJlj,2021-05-27,2021-06-01,5
Netherlands,38yBBH2jacvDxrznF7h08J,2017-10-20,2018-01-18,81
Japan,4PS1e8f2LvuTFgUs1Cn3ON,2018-12-23,2021-12-24,8
Australia,3xXBsjrbG1xQIm1xv1cKOt,2017-07-21,2017-07-25,5
Costa Rica,55mJleti2WfWEFNFcBduhc,2019-08-02,2019-08-08,7
Finland,5odLK6KBg26jGJvGjKuP9M,2017-01-01,2017-02-27,43
Russian Federation,7FIWs0pqAYbP91WWM0vlTQ,2020-07-15,2020-07-22,8
France,4EqDhlMXGSldH0QZaZ1ocL,2017-11-10,2017-11-10,1
Belgium,6flur5o18COKeafnjLHRiJ,2019-02-22,2019-02-22,1
Netherlands,0gCB2MmImBVSDcoBIp3nKy,2020-04-22,2020-04-23,2
France,6MmtDonkpvSoRx9ACwrGDu,2018-05-25,2018-05-25,1
Greece,79jX8RM5CgPqDKdGEKNW9K,2018-03-22,2018-05-24,64
Norway,3AzjcOeAmA57TIOr9zF1ZW,2020-03-27,2020-07-09,104
Lithuania,3yOlyBJuViE2YSGn3nVE1K,2019-12-06,2020-06-12,162
Lithuania,2IIJRG1Kzsl1MEUAS316qd,2021-04-11,2021-04-11,1
South Africa,47IXLhp3c6mu7NqvpuhuLi,2020-03-13,2020-03-15,3
Norway,0c7K73roy6RW4ebDkf4yGh,2019-09-14,2019-11-21,69
Thailand,5rqQTEIVK2PTuXU9GI2wT0,2018-05-11,2018-05-12,2
Canada,1nYeVF5vIBxMxfPoL0SIWg,2020-03-27,2020-04-02,7
Poland,2N7C6tNI3MbUKJ0bgcqn6k,2017-11-24,2017-11-29,5
Uruguay,24NuEDgyRIljwSyY0lsr7b,2020-01-17,2020-02-21,5
United Kingdom,2usxQITOSDqvkYiI0oIwao,2020-01-10,2020-01-16,7
Norway,6Knv6wdA0luoMUuuoYi2i1,2017-12-31,2017-12-31,1
Indonesia,0todbbT9g5uQGbeFCiBf2F,2018-12-14,2019-02-06,55
Taiwan,0mkdnt1vnRKab6qfCeQAeW,2018-06-29,2018-06-29,1
South Africa,7qEKqBCD2vE5vIBsrUitpD,2019-03-29,2019-05-09,36
Colombia,6LcauUZjF1eXQrgqMUecHX,2019-11-20,2020-02-11,69
Switzerland,2ktxr00GpTtbMNeBjNeY8D,2019-11-22,2019-11-28,7
El Salvador,1nYeVF5vIBxMxfPoL0SIWg,2020-03-27,2020-03-31,5
United States,2dKtWPLZvbCzwLRliNn8UI,2018-11-09,2018-11-20,12
Finland,0Zm7NKJgoKY6ZWwtoEUILK,2021-08-29,2021-09-08,11
Germany,7LWPWMgF1JVySPVNZPVwFY,2020-09-18,2020-10-01,12
Malaysia,1CxLWO9XW1aK4yv7zViVdn,2017-10-20,2017-10-20,1
Denmark,73TXMz1i41sGfOuDg8gH4L,2018-04-06,2018-04-07,2
Israel,69TE1rA19DPXWd5ERGUq8F,2020-07-15,2020-12-02,131
Estonia,06IdUbnrpRZ0IKI9IlO96I,2021-12-24,2021-12-24,1
Japan,6orDsQsMy7BaqGoRWw3fVN,2021-04-28,2021-12-10,130
Paraguay,1PZrHbJjt5t7dP9OGRxcD0,2019-05-08,2019-09-23,32
El Salvador,1mG8VynhqySA52bALfYrvO,2021-10-01,2021-10-30,23
Sweden,7yBbV2k2S2uhaQc24NF2xt,2020-05-29,2020-06-01,4
Austria,7AFASza1mXqntmGtbxXprO,2018-03-16,2018-11-18,167
United Kingdom,10tPPpNb3zCIt2KKbWTXmx,2021-04-16,2021-04-16,1
France,2nLtzopw4rPReszdYBJU6h,2017-07-20,2017-07-31,11
Belgium,4tNpAeDH7S7cJGEo28Ogi4,2017-10-06,2018-09-18,344
Japan,1GO9vCm5Cra5uWGSWQ5mGK,2018-01-12,2018-01-12,1
Guatemala,2hqvvHxbWNHBnknhTSKaac,2021-03-21,2021-04-25,9
United Arab Emirates,5MWOSsgPDm3aPvAHWghxxG,2019-06-23,2019-06-23,1
Norway,3EjynuhhRitp13WPGUKsJ4,2020-11-06,2020-11-07,2
Latvia,1NF9EkR5OpMaoVWbsllcm9,2019-05-31,2019-05-31,1
Greece,0pk1hxhJLBSZZ5RKBhcwOa,2020-08-14,2020-08-14,1
Austria,0ZRi26KyiZ1b4D7VhyWSSY,2020-09-18,2020-10-09,22
Brazil,4eWQlBRaTjPPUlzacqEeoQ,2018-01-12,2018-06-11,132
Honduras,65NwOZqoXny4JxqAPlfxRF,2018-02-24,2018-04-25,61
