danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.234,0.757,0,-5.554,1,0.0421,0.0165,1.71e-5,0.0967,0.131,86.671,00WE3UYEVNMsR5xc10L1bE,256800,1
0.582,0.748,5,-6.621,0,0.219,0.575,0,0.576,0.423,171.882,4N01NxyzZzsfWhvqskiZ00,169500,4
0.734,0.496,4,-9.341,0,0.0764,0.138,9.08e-5,0.123,0.579,127.997,4bC3QVzob2GGiLbZIylJYQ,215156,4
0.823,0.59,4,-6.811,1,0.176,0.0554,0,0.048,0.344,142.044,2osrYPwkOkGGfWrhfMzrKP,152852,4
0.718,0.56,1,-7.069,1,0.0332,0.11,2.35e-5,0.0615,0.581,110.017,62oQX1HKsMKB4R1OLll0LF,245400,4
0.45,0.583,1,-7.137,0,0.0751,0.658,0.00239,0.1,0.195,93.963,41G8Erys8j0Ijux3HAJ9mp,163404,4
0.652,0.8,0,-9.101,1,0.0499,0.0213,2.74e-4,0.0716,0.819,124.046,0Kb0gZqCJPLgYXEPWR07o5,180653,4
0.591,0.696,10,-6.155,0,0.388,0.115,1.69e-6,0.0958,0.344,105.21,6ZD5ZFh2N3plot4ISxFVf6,150533,3
0.599,0.943,0,-1.457,1,0.0894,0.177,2.6e-5,0.141,0.84,174.059,39GvWlUAF4Y3qzboUyvBkg,202010,4
0.914,0.533,1,-10.251,1,0.0766,0.0071,0.0117,0.0682,0.456,119.994,3KbW03Tu5Q2k876P2LqKNk,180116,4
0.687,0.411,7,-10.889,0,0.292,0.238,0,0.193,0.354,139.911,6k2vPDzYQ5v2jDdHEwzf11,207429,4
0.684,0.839,4,-6.457,0,0.0658,0.12,0,0.354,0.58,128.051,7ij5kN8jwXr8fZD54M0xb6,235974,4
0.548,0.783,9,-5.738,0,0.151,0.0119,4.33e-6,0.627,0.342,69.35,0rp798C76sAymQKRyEuNDI,238628,4
0.85,0.787,1,-6.266,1,0.139,0.0563,0,0.0831,0.714,76.005,5pwD2ohJAN7byIBQczbFyE,167768,4
0.65,0.487,6,-5.888,0,0.172,0.00584,2.48e-6,0.481,0.329,75.045,3MebXyoHnqzHZEfzvS8J1I,228892,4
0.572,0.716,2,-8.829,1,0.253,0.591,0,0.0878,0.466,139.991,1gK70fcr4UnSDmP7KXtH0F,293143,4
0.505,0.272,2,-12.536,0,0.0342,0.0882,0.305,0.612,0.23,144.083,0TfCsqAgbfQnGJC8pDHH66,252996,3
0.526,0.971,11,-5.314,1,0.092,0.00277,4.21e-6,0.13,0.446,112.045,0X78aEM8HyktXbIPsiEpeB,269912,4
0.796,0.569,0,-7.737,1,0.0754,0.129,0.00598,0.0965,0.534,87.963,7u7m0TSpsjI4hzxg4EqhCM,171827,4
0.833,0.574,0,-8.74,0,0.321,0.195,0,0.142,0.514,130.003,03cOUvF1fyW60AuUfUNiDc,227147,4
0.958,0.685,10,-6.032,0,0.161,0.24,0,0.13,0.773,103.987,0vrf1NID7s25S8ISHVZlQM,136743,4
0.865,0.5,1,-9.431,0,0.177,0.0192,0,0.106,0.324,82.509,0MNemc24NyVm0zdeVWUPhq,204005,4
0.657,0.579,7,-10.463,0,0.275,0.123,0,0.102,0.146,84.985,42XnD59SFcomCJu55EPhqJ,273027,4
0.568,0.723,1,-5.48,0,0.436,0.174,2.16e-6,0.122,0.385,150.878,7hczEhOVsbCj9JWGix7Ndo,246754,4
0.877,0.402,1,-12.648,1,0.291,0.0765,0,0.549,0.402,91.009,5iyUtHbtlqnj41o9xUDPC2,224824,4
0.831,0.758,1,-6.003,1,0.121,0.00429,7.74e-4,0.666,0.467,126.049,52u6nZVqQ7zn8hJyFYrbd8,197240,4
0.842,0.72,10,-6.939,0,0.322,0.0317,0,0.115,0.274,89.973,7s07fxYJ99ZVaUuvI2oInT,170933,4
0.772,0.803,1,-3.035,1,0.0468,0.188,0,0.434,0.853,94.981,6U2NuJILEOEpW2tVCuqKHb,242160,4
0.654,0.774,6,-3.749,0,0.135,0.192,0,0.396,0.395,160.003,13DJ7BruwToSrQeQyUQgIT,278884,4
0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,1u8c2t2Cy7UBoG4ArRcF5g,231827,4
0.679,0.389,0,-8.757,1,0.0264,0.663,0,0.0617,0.567,95.05,3INIKdp8Md2XggLz95Rn6v,258587,4
0.663,0.783,6,-4.585,1,0.0393,0.0134,0.00179,0.325,0.622,123.986,7jXQUrVhEpXdymfFWNDnQW,178088,4
0.777,0.582,0,-6.187,0,0.0354,0.151,0,0.109,0.681,148.921,0QrLeOy3DCNBNQoEwZB1T3,184750,4
0.301,0.672,2,-4.497,1,0.0623,0.28,3.1e-5,0.0609,0.384,169.497,31VOknKjFrEX47bZXzqcoF,230289,3
0.709,0.722,8,-3.493,0,0.0468,0.0757,0,0.183,0.527,92.014,3VMiWCp61FygYAaPM8WkfL,264783,4
0.492,0.795,1,-4.041,1,0.0405,4.03e-4,3.78e-5,0.139,0.362,121.959,6SV3AVRXBGFaVER3IYElon,294041,4
0.623,0.729,6,-6.006,0,0.0433,9.5e-4,6.76e-4,0.0873,0.541,94.987,4xqU0uR2FkuZPxicdOADZC,227584,4
